,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,Cr,Qualified,0.0042643923240938165,0.6666666666666666,5.583333333333333
0,Judge_COF_True,Qualified,0.0042643923240938165,0.2857142857142857,2.392857142857143
0,Judge_Electrochemical_Deposition_True,Qualified,0.0042643923240938165,0.2857142857142857,2.392857142857143
0,Qualified,Ru,0.09168443496801706,0.7678571428571429,2.369243421052632
0,Judge_Electrospin_True,Qualified,0.006396588486140725,0.2727272727272727,2.284090909090909
0,Ce,Qualified,0.0042643923240938165,0.25,2.09375
0,Na,Qualified,0.006396588486140725,0.23076923076923075,1.9326923076923077
0,Judge_MOF_True,Qualified,0.006396588486140725,0.21428571428571427,1.794642857142857
0,Judge_CNT_True,Qualified,0.008528784648187633,0.21052631578947367,1.763157894736842
0,Sr,Qualified,0.008528784648187633,0.21052631578947367,1.763157894736842
0,Zn,Qualified,0.0042643923240938165,0.2,1.675
0,Qualified,O,0.08528784648187633,0.7142857142857143,1.2546816479400749
