,Element_Type_1,Element_Type_2,Coexistence_num
0,C,P,289
0,C,Co,256
0,C,Mo,253
0,C,N,328
0,C,S,164
0,C,Ni,156
0,C,O,159
0,C,Ru,97
0,C,Fe,74
0,C,Pt,59
0,C,W,63
0,C,Se,37
0,C,Cu,35
0,C,Ti,28
0,C,Pd,19
0,C,Ir,28
0,C,Rh,21
0,C,Mn,14
0,C,V,17
0,C,B,12
0,C,Zn,15
0,C,F,13
0,C,Te,4
0,C,Cl,5
0,C,Sn,5
0,C,Ag,5
0,C,Si,5
0,C,Re,7
0,C,Au,4
0,C,Ce,2
0,C,Na,2
0,C,Al,2
0,C,Bi,0
0,C,Ge,2
0,C,Os,1
0,C,Zr,2
0,C,Ta,0
0,C,Ca,2
0,C,Nb,1
0,C,Mg,1
0,C,Cr,1
0,C,Li,1
0,C,Er,1
0,C,Sb,0
0,C,Pb,0
0,C,I,1
0,C,La,1
0,C,Br,0
0,C,Cd,0
0,C,K,0
0,C,Pr,0
0,C,Nd,1
0,C,Sr,0
0,C,In,1
0,P,Co,228
0,P,Mo,95
0,P,N,126
0,P,S,55
0,P,Ni,129
0,P,O,71
0,P,Ru,36
0,P,Fe,73
0,P,Pt,8
0,P,W,28
0,P,Se,9
0,P,Cu,20
0,P,Ti,14
0,P,Pd,8
0,P,Ir,4
0,P,Rh,15
0,P,Mn,16
0,P,V,4
0,P,B,3
0,P,Zn,7
0,P,F,3
0,P,Te,2
0,P,Cl,3
0,P,Sn,0
0,P,Ag,1
0,P,Si,7
0,P,Re,2
0,P,Au,0
0,P,Ce,3
0,P,Na,0
0,P,Al,3
0,P,Bi,1
0,P,Ge,1
0,P,Os,2
0,P,Zr,0
0,P,Ta,0
0,P,Ca,1
0,P,Nb,0
0,P,Mg,1
0,P,Cr,1
0,P,Li,0
0,P,Er,1
0,P,Sb,0
0,P,Pb,0
0,P,I,1
0,P,La,0
0,P,Br,0
0,P,Cd,0
0,P,K,0
0,P,Pr,1
0,P,Nd,0
0,P,Sr,0
0,P,In,1
0,Co,Mo,71
0,Co,N,124
0,Co,S,91
0,Co,Ni,89
0,Co,O,56
0,Co,Ru,23
0,Co,Fe,50
0,Co,Pt,5
0,Co,W,22
0,Co,Se,34
0,Co,Cu,15
0,Co,Ti,9
0,Co,Pd,5
0,Co,Ir,9
0,Co,Rh,2
0,Co,Mn,13
0,Co,V,6
0,Co,B,3
0,Co,Zn,12
0,Co,F,4
0,Co,Te,1
0,Co,Cl,5
0,Co,Sn,1
0,Co,Ag,1
0,Co,Si,2
0,Co,Re,2
0,Co,Au,0
0,Co,Ce,2
0,Co,Na,1
0,Co,Al,2
0,Co,Bi,1
