,Element_Type_1,Element_Type_2,Coexistence_num
0,Ir,O,151
0,Ir,Ru,38
0,Ir,C,63
0,Ir,Co,33
0,Ir,Ni,31
0,Ir,N,19
0,Ir,Mn,10
0,Ir,Ti,20
0,Ir,Sn,17
0,Ir,Cu,13
0,Ir,Pt,18
0,Ir,Fe,5
0,Ir,Sr,15
0,Ir,S,3
0,Ir,Y,4
0,Ir,Pd,8
0,Ir,Mo,4
0,Ir,W,11
0,Ir,Sb,11
0,Ir,Na,4
0,Ir,P,2
0,Ir,Au,6
0,Ir,Zn,5
0,Ir,Li,7
0,Ir,Ce,3
0,Ir,B,2
0,Ir,La,6
0,Ir,Ta,5
0,Ir,F,1
0,Ir,Si,3
0,Ir,Te,5
0,Ir,K,4
0,Ir,V,1
0,Ir,Ba,4
0,Ir,Se,2
0,Ir,Bi,2
0,Ir,Ag,2
0,Ir,Ca,1
0,Ir,Nb,2
0,Ir,Pr,3
0,Ir,Pb,2
0,Ir,Cr,1
0,Ir,Nd,1
0,Ir,Zr,2
0,Ir,Rh,0
0,Ir,Mg,0
0,Ir,Lu,2
0,Ir,Cl,0
0,Ir,Ga,1
0,Ir,In,0
0,Ir,Al,1
0,Ir,Er,0
0,Ir,Br,0
0,Ir,Os,1
0,O,Ru,104
0,O,C,47
0,O,Co,32
0,O,Ni,14
0,O,N,17
0,O,Mn,19
0,O,Ti,18
0,O,Sn,20
0,O,Cu,7
0,O,Pt,6
0,O,Fe,8
0,O,Sr,17
0,O,S,5
0,O,Y,15
0,O,Pd,2
0,O,Mo,7
0,O,W,8
0,O,Sb,13
0,O,Na,11
0,O,P,4
0,O,Au,2
0,O,Zn,6
0,O,Li,7
0,O,Ce,7
0,O,B,4
0,O,La,6
0,O,Ta,5
0,O,F,5
0,O,Si,6
0,O,Te,0
0,O,K,5
0,O,V,4
0,O,Ba,4
0,O,Se,1
0,O,Bi,2
0,O,Ag,2
0,O,Ca,3
0,O,Nb,2
0,O,Pr,3
0,O,Pb,1
0,O,Cr,3
0,O,Nd,1
0,O,Zr,1
0,O,Rh,1
0,O,Mg,2
0,O,Lu,1
0,O,Cl,1
0,O,Ga,0
0,O,In,1
0,O,Al,0
0,O,Er,0
0,O,Br,1
0,O,Os,0
0,Ru,C,29
0,Ru,Co,15
0,Ru,Ni,6
0,Ru,N,8
0,Ru,Mn,9
0,Ru,Ti,6
0,Ru,Sn,2
0,Ru,Cu,8
0,Ru,Pt,5
0,Ru,Fe,1
0,Ru,Sr,5
0,Ru,S,5
0,Ru,Y,14
0,Ru,Pd,3
0,Ru,Mo,4
0,Ru,W,2
0,Ru,Sb,1
0,Ru,Na,7
0,Ru,P,1
0,Ru,Au,4
0,Ru,Zn,4
0,Ru,Li,0
0,Ru,Ce,2
0,Ru,B,3
0,Ru,La,2
0,Ru,Ta,1
0,Ru,F,2
0,Ru,Si,3
0,Ru,Te,2
0,Ru,K,1
0,Ru,V,0
0,Ru,Ba,0
0,Ru,Se,2
0,Ru,Bi,0
0,Ru,Ag,0
0,Ru,Ca,2
0,Ru,Nb,1
0,Ru,Pr,0
0,Ru,Pb,1
0,Ru,Cr,2
0,Ru,Nd,1
0,Ru,Zr,0
0,Ru,Rh,1
0,Ru,Mg,2
0,Ru,Lu,0
0,Ru,Cl,0
0,Ru,Ga,0
0,Ru,In,1
0,Ru,Al,1
0,Ru,Er,1
0,Ru,Br,0
0,Ru,Os,0
0,C,Co,24
0,C,Ni,11
0,C,N,33
0,C,Mn,3
0,C,Ti,6
0,C,Sn,4
0,C,Cu,5
0,C,Pt,11
0,C,Fe,8
0,C,Sr,0
0,C,S,6
0,C,Y,1
0,C,Pd,4
0,C,Mo,5
0,C,W,3
0,C,Sb,1
0,C,Na,2
0,C,P,4
0,C,Au,2
0,C,Zn,2
0,C,Li,1
0,C,Ce,2
0,C,B,5
0,C,La,1
0,C,Ta,0
0,C,F,2
0,C,Si,0
0,C,Te,0
0,C,K,0
0,C,V,2
0,C,Ba,0
0,C,Se,0
0,C,Bi,1
0,C,Ag,1
0,C,Ca,0
0,C,Nb,0
0,C,Pr,0
0,C,Pb,0
0,C,Cr,0
0,C,Nd,0
0,C,Zr,0
0,C,Rh,0
0,C,Mg,0
0,C,Lu,0
0,C,Cl,1
0,C,Ga,0
0,C,In,0
0,C,Al,0
0,C,Er,0
0,C,Br,0
0,C,Os,0
0,Co,Ni,11
0,Co,N,10
0,Co,Mn,4
0,Co,Ti,2
0,Co,Sn,4
0,Co,Cu,0
0,Co,Pt,2
0,Co,Fe,6
0,Co,Sr,2
0,Co,S,6
0,Co,Y,0
0,Co,Pd,1
0,Co,Mo,6
0,Co,W,0
0,Co,Sb,1
0,Co,Na,2
0,Co,P,5
0,Co,Au,0
0,Co,Zn,2
0,Co,Li,2
0,Co,Ce,2
0,Co,B,0
0,Co,La,0
0,Co,Ta,0
0,Co,F,2
0,Co,Si,0
0,Co,Te,0
0,Co,K,0
0,Co,V,0
0,Co,Ba,0
0,Co,Se,0
0,Co,Bi,0
