,Element_Type,Occurence
1,Ir,289
2,O,268
3,Ru,152
4,C,114
5,Co,73
6,Ni,49
7,N,41
8,Mn,27
9,Ti,25
10,Sn,23
11,Cu,23
12,Pt,23
13,Fe,21
14,S,19
15,Sr,19
16,Y,16
17,Pd,15
18,Mo,15
19,W,14
20,Sb,14
21,Na,13
22,P,12
23,Zn,10
24,Au,10
25,Li,9
26,La,8
27,Ce,8
28,B,8
29,Ta,7
30,F,6
31,Si,6
32,Te,5
33,K,5
34,Ba,4
35,Se,4
36,V,4
37,Pb,3
38,Ca,3
39,Bi,3
40,Ag,3
41,Pr,3
42,Cr,3
43,Nb,3
44,Lu,2
45,Nd,2
46,Mg,2
47,Rh,2
48,Zr,2
49,Br,1
50,Er,1
51,Cl,1
52,Al,1
53,In,1
54,Os,1
55,Ga,1
