TEST,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_HWP,Alkaline_HWP,Neutral_HWP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
0,10.1016/j.jallcom.2018.12.191,Peoples R China,Nanjing Xiaozhuang Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,43525,4,0.867,0.879,NaN,The PdAg@PdPtAg/rGO nanocrystal shows a low overpotential of 22 mV at 10 mA cm(-2) and excellent electrochemical stability with 99.5% retention over either 12 h or 30 000 cycles of HER,No pH key word.10.1016/j.jallcom.2018.12.191,0,0,0,Ag,C,Pd,Pt,None,None,None,None,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,10.1039/c7ta11140a,Peoples R China,Beijing Univ Chem Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/28/2018,104,0.85,NaN,NaN,"The Co/NCNT/NG heterostructure catalyst shows not only a positive half-wave potential of 0.85 V (versus RHE) and long-term stability for the ORR, but also a low overpotential of 123 mV at a current density of 10 mA cm(-2) and ultrahigh stability in 0.5 M H2SO4 for the HER","Normal,only acid.",0,0,0,C,Co,N,Zn,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d0ta06543a,Peoples R China,Shandong Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/10/2020,10,0.921,NaN,NaN,"Furthermore, the as-prepared S-doped AuPbPt alloy NWNs indeed exhibit excellent electrocatalytic activity towards both the ORR (e.g., E-onset = 1.047 V and E-1/2 = 0.921 V) and HER (E-onset = -2 mV and overpotential of 12 mV at 10 mA cm(-2)) in acidic media with excellent durability because of the presence of an optimal amount of PtS, based on the results of control experiments and DFT calculations.","Normal,only acid.",0,1,0,Au,Pb,Pt,S,None,None,None,None,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1016/j.carbon.2019.08.036,Peoples R China,Beihang Univ,CARBON,11.307,10/17/2019 0:00,33,0.784,0.691,NaN,"More importantly, the low Delta E (= E-10 mA cm(-2) - E--3 mA cm(-2)) of 0.691 and 0.784 V in 0.1 M KOH and 0.1 M HClO4 electrolytes for FeNC-900, respectively, indicating its fascinating bifunctional electrocatalytic activities for ORR and OER in both alkaline and acidic electrolytes","Normal,acid and alkaline.",1,0,1,C,Fe,N,None,None,None,None,None,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2020.09.058,Peoples R China,Hainan Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,12/29/2020,22,0.672,0.823,NaN,"For ORR, the Co/Co3O4@C catalyst shows high half-wave potential in both alkaline and acidic media, 0.823 V for 0.1 M KOH and 0.672 V for 0.1 M HClO4","Normal,acid and alkaline.",0,0,1,C,Co,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/ja504696r,Peoples R China,Univ Sci & Technol China,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,8/6/2014,803,0.818,0.809,NaN,"The catalyst pyrolyzed at 800 degrees C (Fe-N/C-800) shows the highest ORR activity with onset and half-wave potentials of 923 and 809 mV in 0.1 M KOH, respectively, which are comparable to those of Pt/C (half-wave potential 818 mV vs RHE) at the same catalyst loading","Normal,only alkaline.",1,0,0,N,C,Fe,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2022.121768,Peoples R China,Chinese Acad Sci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,8/25/2022,0,0.82,0.94,NaN,"Benefiting from the ultra-high site density and utilization of Fe-N(4 )moieties, the optimized FeSA-N/Cs-OAc catalyst demonstrates excellent ORR activities marked by extraordinarily high half-wave potentials (E-1/2) of 0.94 V and 0.82 V in alkaline and acidic electrolytes","Normal,acid and alkaline.",0,0,0,C,Fe,N,None,None,None,None,None,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acsami.8b00512,Peoples R China,Beijing Key Lab Electrochem Proc & Technol Mat,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,73,0.764,0.875,NaN,"The optimized Fe,Co,N-CNP(0.3) (Fe/Co molar ratio of 0.3 in Fe,Co-ZIF) electrocatalyst exhibited a highly promising activity for oxygen reduction reaction (ORR) with a positive half-wave potential (E-1/2) of 0.875 V (29 mV higher than that of the commercial Pt/C), excellent methanol tolerance, and electrochemical stability in the alkaline electrolyte","Normal,only alkaline.",0,0,0,C,Co,Fe,N,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jallcom.2022.165060,Peoples R China,Xinjiang Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,6/9/2022,1,0.66,0.81,NaN,"In alkaline conditions, the half-wave potential E-1/2 = 0.81 V, initial potential E-onset = 0.89 V, and limiting current density even reaching 7.4 mA cm(-2)","Normal,only alkaline.",0,1,0,C,Co,N,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1007/s40843-019-1224-5,Peoples R China,Beijing Univ Chem Technol,SCIENCE CHINA-MATERIALS,8.64,3/26/2020,19,0.77,0.91,NaN,"The as-obtained BF-N-950 catalyst shows prominent ORR catalytic activities in both acidic and alkaline electrolytes with a half-wave potential reaching 0.77 and 0.91 V, respectively","Normal,acid and alkaline.",0,0,0,C,N,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
