,Element_Type_1,Element_Type_2,Coexistence_num
0,C,N,199
0,C,Fe,133
0,C,Co,37
0,C,S,26
0,C,O,20
0,C,Pt,16
0,C,Zn,16
0,C,P,12
0,C,Ni,9
0,C,Cu,8
0,C,Mn,7
0,C,Cl,7
0,C,Pd,6
0,C,Ru,4
0,C,Na,4
0,C,Si,4
0,C,Se,2
0,C,F,3
0,C,B,3
0,C,Au,1
0,C,Ca,2
0,C,Ti,2
0,C,Ce,2
0,C,Mo,1
0,C,Ir,2
0,C,Sn,2
0,C,W,2
0,C,Cr,1
0,C,Pb,0
0,C,Mg,1
0,C,Li,1
0,C,Sc,1
0,C,Rh,1
0,C,Ag,1
0,C,Te,1
0,N,Fe,128
0,N,Co,34
0,N,S,24
0,N,O,17
0,N,Pt,8
0,N,Zn,15
0,N,P,11
0,N,Ni,3
0,N,Cu,5
0,N,Mn,7
0,N,Cl,7
0,N,Pd,1
0,N,Ru,2
0,N,Na,4
0,N,Si,2
0,N,Se,1
0,N,F,3
0,N,B,3
0,N,Au,0
0,N,Ca,2
0,N,Ti,2
0,N,Ce,2
0,N,Mo,1
0,N,Ir,1
0,N,Sn,1
0,N,W,2
0,N,Cr,1
0,N,Pb,0
0,N,Mg,1
0,N,Li,1
0,N,Sc,1
0,N,Rh,1
0,N,Ag,0
0,N,Te,0
0,Fe,Co,10
0,Fe,S,15
0,Fe,O,11
0,Fe,Pt,1
0,Fe,Zn,6
0,Fe,P,9
0,Fe,Ni,2
0,Fe,Cu,3
0,Fe,Mn,3
0,Fe,Cl,7
0,Fe,Pd,0
0,Fe,Ru,0
0,Fe,Na,4
0,Fe,Si,2
0,Fe,Se,1
0,Fe,F,1
0,Fe,B,2
0,Fe,Au,0
0,Fe,Ca,1
0,Fe,Ti,2
0,Fe,Ce,1
0,Fe,Mo,0
0,Fe,Ir,0
0,Fe,Sn,1
0,Fe,W,0
0,Fe,Cr,0
0,Fe,Pb,0
0,Fe,Mg,1
0,Fe,Li,1
0,Fe,Sc,0
0,Fe,Rh,0
0,Fe,Ag,0
0,Fe,Te,0
0,Co,S,2
0,Co,O,4
0,Co,Pt,3
0,Co,Zn,5
0,Co,P,1
0,Co,Ni,2
0,Co,Cu,0
0,Co,Mn,0
0,Co,Cl,0
0,Co,Pd,0
0,Co,Ru,0
0,Co,Na,0
0,Co,Si,0
0,Co,Se,3
0,Co,F,0
0,Co,B,0
0,Co,Au,1
0,Co,Ca,0
0,Co,Ti,0
0,Co,Ce,0
0,Co,Mo,2
0,Co,Ir,0
0,Co,Sn,0
0,Co,W,1
0,Co,Cr,0
0,Co,Pb,0
0,Co,Mg,0
0,Co,Li,0
0,Co,Sc,0
0,Co,Rh,0
0,Co,Ag,0
0,Co,Te,0
0,S,O,3
0,S,Pt,2
0,S,Zn,3
0,S,P,1
0,S,Ni,0
0,S,Cu,1
0,S,Mn,0
0,S,Cl,1
0,S,Pd,0
0,S,Ru,0
0,S,Na,0
0,S,Si,1
0,S,Se,0
0,S,F,0
0,S,B,0
0,S,Au,1
0,S,Ca,0
0,S,Ti,0
0,S,Ce,0
0,S,Mo,0
0,S,Ir,0
0,S,Sn,2
0,S,W,0
0,S,Cr,0
0,S,Pb,1
0,S,Mg,0
0,S,Li,0
0,S,Sc,0
0,S,Rh,0
0,S,Ag,0
0,S,Te,0
0,O,Pt,2
0,O,Zn,2
0,O,P,2
0,O,Ni,0
0,O,Cu,0
0,O,Mn,0
0,O,Cl,2
0,O,Pd,0
0,O,Ru,0
0,O,Na,1
0,O,Si,4
0,O,Se,1
0,O,F,0
0,O,B,0
0,O,Au,0
0,O,Ca,1
0,O,Ti,0
0,O,Ce,1
0,O,Mo,0
0,O,Ir,0
0,O,Sn,1
0,O,W,0
0,O,Cr,1
0,O,Pb,0
0,O,Mg,1
0,O,Li,0
0,O,Sc,0
0,O,Rh,0
0,O,Ag,0
0,O,Te,0
0,Pt,Zn,2
0,Pt,P,0
0,Pt,Ni,3
0,Pt,Cu,0
0,Pt,Mn,0
0,Pt,Cl,0
0,Pt,Pd,2
0,Pt,Ru,0
0,Pt,Na,0
0,Pt,Si,1
0,Pt,Se,0
0,Pt,F,0
0,Pt,B,0
0,Pt,Au,2
0,Pt,Ca,0
0,Pt,Ti,0
0,Pt,Ce,0
0,Pt,Mo,0
0,Pt,Ir,0
0,Pt,Sn,0
0,Pt,W,0
0,Pt,Cr,0
0,Pt,Pb,1
0,Pt,Mg,0
0,Pt,Li,0
0,Pt,Sc,0
0,Pt,Rh,0
