,Element_Type_1,Element_Type_2,Coexistence_num
0,C,Ni,345
0,C,Co,428
0,C,P,345
0,C,O,287
0,C,N,444
0,C,Mo,275
0,C,S,185
0,C,Fe,148
0,C,Ru,163
0,C,Cu,56
0,C,Se,52
0,C,W,57
0,C,Pt,41
0,C,Ti,29
0,C,V,24
0,C,B,24
0,C,Mn,21
0,C,Ir,30
0,C,Rh,21
0,C,Pd,22
0,C,Zn,27
0,C,F,21
0,C,Ce,5
0,C,Ag,4
0,C,Cr,5
0,C,Al,1
0,C,Cl,4
0,C,Si,3
0,C,Te,4
0,C,Nb,4
0,C,Sn,4
0,C,Na,1
0,C,Au,2
0,C,Bi,1
0,C,La,1
0,C,Re,4
0,C,Zr,2
0,C,Os,2
0,C,Sr,0
0,C,Ge,2
0,C,Mg,1
0,C,Ga,1
0,C,Ta,1
0,C,Pr,0
0,C,Nd,0
0,C,Br,1
0,C,Y,0
0,C,Li,0
0,C,Cd,0
0,C,Gd,1
0,C,K,0
0,C,Pb,0
0,C,Hg,0
0,C,Ho,0
0,C,Er,0
0,C,Ca,0
0,C,In,1
0,C,Sm,0
0,C,Dy,0
0,C,Sb,0
0,Ni,Co,340
0,Ni,P,312
0,Ni,O,324
0,Ni,N,170
0,Ni,Mo,211
0,Ni,S,270
0,Ni,Fe,232
0,Ni,Ru,43
0,Ni,Cu,68
0,Ni,Se,67
0,Ni,W,24
0,Ni,Pt,30
0,Ni,Ti,32
0,Ni,V,32
0,Ni,B,20
0,Ni,Mn,22
0,Ni,Ir,8
0,Ni,Rh,6
0,Ni,Pd,11
0,Ni,Zn,12
0,Ni,F,13
0,Ni,Ce,16
0,Ni,Ag,6
0,Ni,Cr,6
0,Ni,Al,8
0,Ni,Cl,4
0,Ni,Si,4
0,Ni,Te,1
0,Ni,Nb,5
0,Ni,Sn,4
0,Ni,Na,3
0,Ni,Au,2
0,Ni,Bi,2
0,Ni,La,4
0,Ni,Re,0
0,Ni,Zr,2
0,Ni,Os,0
0,Ni,Sr,1
0,Ni,Ge,0
0,Ni,Mg,0
0,Ni,Ga,0
0,Ni,Ta,1
0,Ni,Pr,2
0,Ni,Nd,2
0,Ni,Br,1
0,Ni,Y,2
0,Ni,Li,1
0,Ni,Cd,1
0,Ni,Gd,1
0,Ni,K,0
0,Ni,Pb,0
0,Ni,Hg,0
0,Ni,Ho,1
0,Ni,Er,0
0,Ni,Ca,0
0,Ni,In,0
0,Ni,Sm,0
0,Ni,Dy,0
0,Ni,Sb,0
0,Co,P,406
0,Co,O,291
0,Co,N,221
0,Co,Mo,160
0,Co,S,192
0,Co,Fe,173
0,Co,Ru,54
0,Co,Cu,52
0,Co,Se,52
0,Co,W,29
0,Co,Pt,14
0,Co,Ti,27
0,Co,V,17
0,Co,B,20
0,Co,Mn,20
0,Co,Ir,8
0,Co,Rh,1
0,Co,Pd,4
0,Co,Zn,25
0,Co,F,17
0,Co,Ce,14
0,Co,Ag,4
0,Co,Cr,8
0,Co,Al,7
0,Co,Cl,4
0,Co,Si,2
0,Co,Te,3
0,Co,Nb,4
0,Co,Sn,1
0,Co,Na,5
0,Co,Au,2
0,Co,Bi,1
0,Co,La,3
0,Co,Re,1
0,Co,Zr,2
0,Co,Os,0
0,Co,Sr,2
0,Co,Ge,1
0,Co,Mg,1
0,Co,Ga,1
0,Co,Ta,1
0,Co,Pr,1
0,Co,Nd,1
0,Co,Br,2
0,Co,Y,0
0,Co,Li,1
0,Co,Cd,0
0,Co,Gd,1
0,Co,K,1
0,Co,Pb,0
0,Co,Hg,0
0,Co,Ho,0
0,Co,Er,1
0,Co,Ca,1
0,Co,In,1
0,Co,Sm,0
0,Co,Dy,0
0,Co,Sb,0
0,P,O,177
0,P,N,162
0,P,Mo,128
0,P,S,88
0,P,Fe,156
0,P,Ru,56
0,P,Cu,39
0,P,Se,21
0,P,W,31
0,P,Pt,10
0,P,Ti,20
0,P,V,11
0,P,B,14
0,P,Mn,25
0,P,Ir,8
0,P,Rh,15
0,P,Pd,6
0,P,Zn,14
0,P,F,14
0,P,Ce,7
0,P,Ag,3
0,P,Cr,5
0,P,Al,5
0,P,Cl,2
0,P,Si,4
0,P,Te,3
0,P,Nb,2
0,P,Sn,2
0,P,Na,1
0,P,Au,2
0,P,Bi,1
0,P,La,1
0,P,Re,2
0,P,Zr,1
0,P,Os,3
0,P,Sr,0
0,P,Ge,1
0,P,Mg,1
0,P,Ga,1
0,P,Ta,0
0,P,Pr,1
0,P,Nd,0
0,P,Br,0
0,P,Y,0
0,P,Li,0
0,P,Cd,0
0,P,Gd,0
0,P,K,0
0,P,Pb,0
0,P,Hg,0
0,P,Ho,0
0,P,Er,1
0,P,Ca,0
0,P,In,1
0,P,Sm,0
0,P,Dy,0
0,P,Sb,0
0,O,N,123
0,O,Mo,171
0,O,S,115
0,O,Fe,134
0,O,Ru,88
0,O,Cu,57
0,O,Se,24
0,O,W,39
0,O,Pt,24
0,O,Ti,34
0,O,V,25
0,O,B,10
0,O,Mn,27
0,O,Ir,9
0,O,Rh,10
0,O,Pd,10
0,O,Zn,8
0,O,F,18
0,O,Ce,19
0,O,Ag,5
