,Element_Type,Occurence
1,C,1078
2,Ni,977
3,Co,917
4,P,737
5,O,674
6,N,548
7,Mo,541
8,S,495
9,Fe,390
10,Ru,268
11,Cu,155
12,Se,124
13,W,93
14,Pt,88
15,Ti,68
16,V,59
17,B,53
18,Mn,53
19,Ir,49
20,Rh,44
21,Pd,44
22,Zn,40
23,F,33
24,Ce,27
25,Cr,15
26,Ag,15
27,Cl,13
28,Al,13
29,Te,12
30,Si,12
31,Nb,11
32,Sn,11
33,Na,9
34,Au,9
35,La,7
36,Bi,7
37,Os,6
38,Re,6
39,Zr,6
40,Sr,5
41,Ga,3
42,Ge,3
43,Ta,3
44,Mg,3
45,Gd,2
46,Pr,2
47,Li,2
48,Nd,2
49,Cd,2
50,Y,2
51,Br,2
52,K,1
53,Ho,1
54,Er,1
55,Ca,1
56,Pb,1
57,Sb,1
58,In,1
59,Hg,1
60,Dy,1
61,Sm,1
