,Element_Type_1,Element_Type_2,Coexistence_num
0,Co,Ni,369
0,Co,O,538
0,Co,C,490
0,Co,Fe,353
0,Co,N,263
0,Co,P,282
0,Co,S,180
0,Co,Mo,94
0,Co,Cu,60
0,Co,Se,60
0,Co,Mn,47
0,Co,Ru,33
0,Co,B,31
0,Co,Ir,11
0,Co,V,19
0,Co,Zn,32
0,Co,Ce,14
0,Co,W,14
0,Co,Cr,15
0,Co,Ti,15
0,Co,F,19
0,Co,Sr,18
0,Co,La,9
0,Co,Al,9
0,Co,Te,8
0,Co,Ag,9
0,Co,Au,4
0,Co,Pd,4
0,Co,Si,3
0,Co,Sn,4
0,Co,Ba,7
0,Co,Na,4
0,Co,Pt,5
0,Co,Bi,4
0,Co,Cl,2
0,Co,I,1
0,Co,Ca,2
0,Co,Li,3
0,Co,Nb,2
0,Co,K,2
0,Co,Pr,1
0,Co,Ga,3
0,Co,Er,1
0,Co,Zr,1
0,Co,Gd,0
0,Co,Sm,1
0,Co,Ta,0
0,Co,In,2
0,Co,Y,0
0,Co,Nd,0
0,Co,Yb,0
0,Co,Pb,0
0,Co,Po,0
0,Co,Ge,1
0,Co,Br,0
0,Co,Dy,0
0,Co,Eu,1
0,Co,Mg,1
0,Ni,O,479
0,Ni,C,408
0,Ni,Fe,502
0,Ni,N,187
0,Ni,P,214
0,Ni,S,194
0,Ni,Mo,84
0,Ni,Cu,43
0,Ni,Se,56
0,Ni,Mn,40
0,Ni,Ru,33
0,Ni,B,25
0,Ni,Ir,16
0,Ni,V,20
0,Ni,Zn,8
0,Ni,Ce,18
0,Ni,W,14
0,Ni,Cr,19
0,Ni,Ti,12
0,Ni,F,12
0,Ni,Sr,2
0,Ni,La,7
0,Ni,Al,15
0,Ni,Te,9
0,Ni,Ag,4
0,Ni,Au,4
0,Ni,Pd,5
0,Ni,Si,6
0,Ni,Sn,4
0,Ni,Ba,0
0,Ni,Na,1
0,Ni,Pt,1
0,Ni,Bi,1
0,Ni,Cl,2
0,Ni,I,3
0,Ni,Ca,0
0,Ni,Li,2
0,Ni,Nb,2
0,Ni,K,1
0,Ni,Pr,0
0,Ni,Ga,0
0,Ni,Er,0
0,Ni,Zr,2
0,Ni,Gd,1
0,Ni,Sm,0
0,Ni,Ta,2
0,Ni,In,0
0,Ni,Y,1
0,Ni,Nd,0
0,Ni,Yb,0
0,Ni,Pb,1
0,Ni,Po,0
0,Ni,Ge,0
0,Ni,Br,1
0,Ni,Dy,0
0,Ni,Eu,0
0,Ni,Mg,1
0,O,C,394
0,O,Fe,415
0,O,N,161
0,O,P,167
0,O,S,115
0,O,Mo,83
0,O,Cu,80
0,O,Se,27
0,O,Mn,52
0,O,Ru,62
0,O,B,26
0,O,Ir,22
0,O,V,27
0,O,Zn,18
0,O,Ce,32
0,O,W,20
0,O,Cr,15
0,O,Ti,22
0,O,F,20
0,O,Sr,25
0,O,La,20
0,O,Al,9
0,O,Te,7
0,O,Ag,7
0,O,Au,8
0,O,Pd,4
0,O,Si,5
0,O,Sn,7
0,O,Ba,8
0,O,Na,6
0,O,Pt,5
0,O,Bi,2
0,O,Cl,4
0,O,I,1
0,O,Ca,4
0,O,Li,4
0,O,Nb,2
0,O,K,2
0,O,Pr,3
0,O,Ga,2
0,O,Er,1
0,O,Zr,1
0,O,Gd,2
0,O,Sm,2
0,O,Ta,1
0,O,In,0
0,O,Y,0
0,O,Nd,1
0,O,Yb,1
0,O,Pb,0
0,O,Po,0
0,O,Ge,1
0,O,Br,0
0,O,Dy,1
0,O,Eu,1
0,O,Mg,0
0,C,Fe,344
0,C,N,391
0,C,P,207
0,C,S,144
0,C,Mo,71
0,C,Cu,54
0,C,Se,44
0,C,Mn,30
0,C,Ru,38
0,C,B,14
0,C,Ir,19
0,C,V,12
0,C,Zn,23
0,C,Ce,9
0,C,W,14
0,C,Cr,9
0,C,Ti,13
0,C,F,18
0,C,Sr,2
0,C,La,3
0,C,Al,3
0,C,Te,6
0,C,Ag,4
0,C,Au,0
0,C,Pd,5
0,C,Si,2
0,C,Sn,2
0,C,Ba,2
0,C,Na,1
0,C,Pt,3
0,C,Bi,2
0,C,Cl,3
0,C,I,3
0,C,Ca,0
0,C,Li,2
0,C,Nb,1
0,C,K,1
0,C,Pr,1
0,C,Ga,0
0,C,Er,0
0,C,Zr,1
0,C,Gd,1
0,C,Sm,1
0,C,Ta,0
0,C,In,1
0,C,Y,0
0,C,Nd,0
0,C,Yb,0
0,C,Pb,0
0,C,Po,1
0,C,Ge,0
0,C,Br,1
0,C,Dy,0
0,C,Eu,0
0,C,Mg,0
0,Fe,N,169
0,Fe,P,187
0,Fe,S,108
0,Fe,Mo,34
0,Fe,Cu,19
0,Fe,Se,41
0,Fe,Mn,23
0,Fe,Ru,19
0,Fe,B,23
0,Fe,Ir,8
0,Fe,V,20
0,Fe,Zn,6
0,Fe,Ce,12
0,Fe,W,9
0,Fe,Cr,24
0,Fe,Ti,9
0,Fe,F,13
0,Fe,Sr,16
0,Fe,La,5
