,Element_Type,Occurence
1,Co,1047
2,Ni,979
3,O,971
4,C,883
5,Fe,792
6,N,457
7,P,446
8,S,347
9,Mo,172
10,Cu,127
11,Se,108
12,Mn,85
13,Ru,82
14,B,56
15,Ir,48
16,V,43
17,Zn,38
18,Ce,38
19,W,32
20,Cr,32
21,Ti,31
22,F,31
23,Sr,26
24,La,20
25,Al,19
26,Te,18
27,Ag,11
28,Au,10
29,Pd,10
30,Si,9
31,Sn,9
32,Ba,8
33,Na,7
34,Pt,7
35,Bi,6
36,Cl,6
37,I,5
38,Ca,4
39,Li,4
40,Nb,3
41,K,3
42,Pr,3
43,Ga,3
44,Er,2
45,Zr,2
46,Gd,2
47,Sm,2
48,Ta,2
49,In,2
50,Y,1
51,Nd,1
52,Yb,1
53,Pb,1
54,Po,1
55,Ge,1
56,Br,1
57,Dy,1
58,Eu,1
59,Mg,1
