,Element_Type_1,Element_Type_2,Coexistence_num
0,C,N,756
0,C,Fe,421
0,C,Co,265
0,C,O,151
0,C,S,112
0,C,P,72
0,C,Ni,55
0,C,Mn,35
0,C,Cu,36
0,C,Zn,38
0,C,Cl,25
0,C,Si,16
0,C,B,15
0,C,Pd,8
0,C,F,14
0,C,Pt,12
0,C,Mo,10
0,C,Ru,9
0,C,Ag,5
0,C,Na,8
0,C,Ti,6
0,C,W,5
0,C,La,0
0,C,Se,5
0,C,Ce,5
0,C,Ca,4
0,C,Ir,3
0,C,V,2
0,C,Rh,3
0,C,Sr,0
0,C,Au,1
0,C,Sm,0
0,C,Mg,2
0,C,Zr,2
0,C,Sn,2
0,C,Te,2
0,C,I,1
0,C,Nd,0
0,C,Li,1
0,C,Bi,1
0,C,In,0
0,C,Al,1
0,C,Rb,1
0,C,K,0
0,C,Sc,1
0,C,Ba,0
0,C,Sb,1
0,C,Po,1
0,C,Br,1
0,C,Re,1
0,N,Fe,400
0,N,Co,239
0,N,O,127
0,N,S,106
0,N,P,67
0,N,Ni,46
0,N,Mn,31
0,N,Cu,29
0,N,Zn,31
0,N,Cl,24
0,N,Si,15
0,N,B,15
0,N,Pd,2
0,N,F,13
0,N,Pt,6
0,N,Mo,8
0,N,Ru,6
0,N,Ag,4
0,N,Na,8
0,N,Ti,6
0,N,W,5
0,N,La,0
0,N,Se,2
0,N,Ce,4
0,N,Ca,4
0,N,Ir,2
0,N,V,4
0,N,Rh,3
0,N,Sr,0
0,N,Au,0
0,N,Sm,0
0,N,Mg,1
0,N,Zr,2
0,N,Sn,1
0,N,Te,0
0,N,I,1
0,N,Nd,0
0,N,Li,1
0,N,Bi,1
0,N,In,0
0,N,Al,1
0,N,Rb,1
0,N,K,0
0,N,Sc,1
0,N,Ba,0
0,N,Sb,1
0,N,Po,0
0,N,Br,1
0,N,Re,1
0,Fe,Co,76
0,Fe,O,65
0,Fe,S,58
0,Fe,P,29
0,Fe,Ni,34
0,Fe,Mn,10
0,Fe,Cu,6
0,Fe,Zn,15
0,Fe,Cl,16
0,Fe,Si,9
0,Fe,B,7
0,Fe,Pd,1
0,Fe,F,4
0,Fe,Pt,4
0,Fe,Mo,4
0,Fe,Ru,1
0,Fe,Ag,2
0,Fe,Na,5
0,Fe,Ti,3
0,Fe,W,1
0,Fe,La,0
0,Fe,Se,2
0,Fe,Ce,2
0,Fe,Ca,3
0,Fe,Ir,0
0,Fe,V,0
0,Fe,Rh,0
0,Fe,Sr,0
0,Fe,Au,0
0,Fe,Sm,0
0,Fe,Mg,2
0,Fe,Zr,1
0,Fe,Sn,1
0,Fe,Te,0
0,Fe,I,1
0,Fe,Nd,1
0,Fe,Li,1
0,Fe,Bi,0
0,Fe,In,0
0,Fe,Al,0
0,Fe,Rb,0
0,Fe,K,0
0,Fe,Sc,0
0,Fe,Ba,1
0,Fe,Sb,0
0,Fe,Po,1
0,Fe,Br,0
0,Fe,Re,0
0,Co,O,77
0,Co,S,40
0,Co,P,25
0,Co,Ni,30
0,Co,Mn,13
0,Co,Cu,11
0,Co,Zn,10
0,Co,Cl,1
0,Co,Si,3
0,Co,B,3
0,Co,Pd,2
0,Co,F,3
0,Co,Pt,2
0,Co,Mo,4
0,Co,Ru,2
0,Co,Ag,3
0,Co,Na,0
0,Co,Ti,2
0,Co,W,3
0,Co,La,1
0,Co,Se,4
0,Co,Ce,1
0,Co,Ca,1
0,Co,Ir,1
0,Co,V,2
0,Co,Rh,0
0,Co,Sr,0
0,Co,Au,0
0,Co,Sm,0
0,Co,Mg,1
0,Co,Zr,0
0,Co,Sn,0
0,Co,Te,0
0,Co,I,0
0,Co,Nd,1
0,Co,Li,0
0,Co,Bi,1
0,Co,In,1
0,Co,Al,0
0,Co,Rb,0
0,Co,K,0
0,Co,Sc,0
0,Co,Ba,1
0,Co,Sb,0
0,Co,Po,0
0,Co,Br,1
0,Co,Re,0
0,O,S,19
0,O,P,11
0,O,Ni,20
0,O,Mn,25
0,O,Cu,5
0,O,Zn,9
0,O,Cl,5
0,O,Si,11
0,O,B,2
0,O,Pd,3
0,O,F,0
0,O,Pt,0
0,O,Mo,3
0,O,Ru,5
0,O,Ag,5
0,O,Na,2
0,O,Ti,3
0,O,W,2
0,O,La,6
0,O,Se,0
0,O,Ce,4
0,O,Ca,3
0,O,Ir,1
0,O,V,0
0,O,Rh,0
0,O,Sr,3
0,O,Au,0
0,O,Sm,2
0,O,Mg,2
0,O,Zr,2
0,O,Sn,1
0,O,Te,0
0,O,I,0
0,O,Nd,1
0,O,Li,0
0,O,Bi,0
0,O,In,0
0,O,Al,1
0,O,Rb,0
0,O,K,1
0,O,Sc,0
0,O,Ba,1
0,O,Sb,0
0,O,Po,0
0,O,Br,1
0,O,Re,0
0,S,P,7
0,S,Ni,7
0,S,Mn,3
0,S,Cu,4
0,S,Zn,7
0,S,Cl,5
0,S,Si,2
0,S,B,1
0,S,Pd,1
0,S,F,1
0,S,Pt,1
0,S,Mo,3
0,S,Ru,2
0,S,Ag,1
0,S,Na,1
0,S,Ti,0
0,S,W,0
0,S,La,0
0,S,Se,0
0,S,Ce,0
0,S,Ca,0
0,S,Ir,0
0,S,V,1
0,S,Rh,0
0,S,Sr,0
0,S,Au,1
0,S,Sm,0
0,S,Mg,0
0,S,Zr,0
0,S,Sn,2
0,S,Te,0
0,S,I,1
0,S,Nd,0
0,S,Li,0
0,S,Bi,0
0,S,In,0
0,S,Al,0
0,S,Rb,0
0,S,K,0
0,S,Sc,0
0,S,Ba,0
0,S,Sb,0
0,S,Po,0
0,S,Br,0
0,S,Re,0
0,P,Ni,4
0,P,Mn,5
0,P,Cu,1
0,P,Zn,3
0,P,Cl,1
0,P,Si,2
0,P,B,1
0,P,Pd,0
0,P,F,0
0,P,Pt,0
0,P,Mo,3
0,P,Ru,2
0,P,Ag,1
0,P,Na,0
0,P,Ti,0
0,P,W,2
0,P,La,0
0,P,Se,0
0,P,Ce,0
0,P,Ca,0
0,P,Ir,1
0,P,V,0
0,P,Rh,1
0,P,Sr,0
0,P,Au,0
0,P,Sm,0
0,P,Mg,0
0,P,Zr,0
0,P,Sn,0
0,P,Te,0
0,P,I,0
0,P,Nd,0
0,P,Li,1
0,P,Bi,1
0,P,In,0
0,P,Al,0
0,P,Rb,1
0,P,K,0
0,P,Sc,0
0,P,Ba,0
0,P,Sb,0
0,P,Po,0
0,P,Br,0
0,P,Re,0
0,Ni,Mn,4
0,Ni,Cu,3
0,Ni,Zn,0
0,Ni,Cl,0
0,Ni,Si,2
0,Ni,B,0
0,Ni,Pd,4
0,Ni,F,0
0,Ni,Pt,2
0,Ni,Mo,2
0,Ni,Ru,0
0,Ni,Ag,0
0,Ni,Na,0
0,Ni,Ti,0
0,Ni,W,0
0,Ni,La,0
0,Ni,Se,1
0,Ni,Ce,0
0,Ni,Ca,0
0,Ni,Ir,0
0,Ni,V,0
0,Ni,Rh,0
0,Ni,Sr,0
0,Ni,Au,0
0,Ni,Sm,0
0,Ni,Mg,0
0,Ni,Zr,0
0,Ni,Sn,0
0,Ni,Te,0
0,Ni,I,0
0,Ni,Nd,0
0,Ni,Li,0
0,Ni,Bi,0
0,Ni,In,0
0,Ni,Al,0
0,Ni,Rb,0
0,Ni,K,1
0,Ni,Sc,0
0,Ni,Ba,0
0,Ni,Sb,0
0,Ni,Po,0
0,Ni,Br,0
0,Ni,Re,0
0,Mn,Cu,0
0,Mn,Zn,2
0,Mn,Cl,1
0,Mn,Si,0
0,Mn,B,1
0,Mn,Pd,0
0,Mn,F,0
0,Mn,Pt,0
0,Mn,Mo,1
0,Mn,Ru,0
0,Mn,Ag,2
0,Mn,Na,0
0,Mn,Ti,0
0,Mn,W,0
0,Mn,La,6
0,Mn,Se,0
0,Mn,Ce,0
