,Element_Type_1,Element_Type_2,Coexistence_num
0,C,P,87
0,C,Co,57
0,C,N,74
0,C,Ni,32
0,C,Mo,46
0,C,O,33
0,C,S,31
0,C,Ru,38
0,C,Fe,11
0,C,Cu,10
0,C,Pt,8
0,C,W,9
0,C,Rh,10
0,C,V,8
0,C,Se,6
0,C,Ir,6
0,C,B,4
0,C,Mn,3
0,C,Pd,5
0,C,Ti,2
0,C,Os,2
0,C,Re,3
0,C,F,2
0,C,Zn,3
0,C,Te,0
0,C,Nb,0
0,C,Si,1
0,C,Al,0
0,C,Na,0
0,C,Cr,1
0,C,Ce,0
0,C,K,0
0,C,Zr,1
0,C,Mg,0
0,C,In,1
0,C,Br,0
0,C,Ag,0
0,C,Li,0
0,C,Ge,1
0,C,Cl,0
0,C,Ca,0
0,C,Bi,0
0,P,Co,66
0,P,N,50
0,P,Ni,49
0,P,Mo,30
0,P,O,31
0,P,S,23
0,P,Ru,22
0,P,Fe,18
0,P,Cu,10
0,P,Pt,2
0,P,W,8
0,P,Rh,11
0,P,V,4
0,P,Se,4
0,P,Ir,3
0,P,B,2
0,P,Mn,5
0,P,Pd,3
0,P,Ti,2
0,P,Os,3
0,P,Re,2
0,P,F,1
0,P,Zn,1
0,P,Te,1
0,P,Nb,0
0,P,Si,1
0,P,Al,1
0,P,Na,1
0,P,Cr,1
0,P,Ce,1
0,P,K,0
0,P,Zr,0
0,P,Mg,0
0,P,In,1
0,P,Br,0
0,P,Ag,0
0,P,Li,0
0,P,Ge,0
0,P,Cl,0
0,P,Ca,0
0,P,Bi,0
0,Co,N,28
0,Co,Ni,30
0,Co,Mo,13
0,Co,O,20
0,Co,S,25
0,Co,Ru,12
0,Co,Fe,14
0,Co,Cu,10
0,Co,Pt,0
0,Co,W,7
0,Co,Rh,0
0,Co,V,4
0,Co,Se,5
0,Co,Ir,1
0,Co,B,3
0,Co,Mn,3
0,Co,Pd,0
0,Co,Ti,3
0,Co,Os,0
0,Co,Re,0
0,Co,F,0
0,Co,Zn,3
0,Co,Te,1
0,Co,Nb,0
0,Co,Si,0
0,Co,Al,2
0,Co,Na,2
0,Co,Cr,1
0,Co,Ce,1
0,Co,K,1
0,Co,Zr,0
0,Co,Mg,0
0,Co,In,0
0,Co,Br,1
0,Co,Ag,0
0,Co,Li,0
0,Co,Ge,0
0,Co,Cl,1
0,Co,Ca,1
0,Co,Bi,0
0,N,Ni,23
0,N,Mo,26
0,N,O,14
0,N,S,17
0,N,Ru,22
0,N,Fe,8
0,N,Cu,4
0,N,Pt,5
0,N,W,4
0,N,Rh,7
0,N,V,5
0,N,Se,0
0,N,Ir,2
0,N,B,2
0,N,Mn,2
0,N,Pd,0
0,N,Ti,4
0,N,Os,2
0,N,Re,1
0,N,F,2
0,N,Zn,0
0,N,Te,0
0,N,Nb,1
0,N,Si,1
0,N,Al,0
0,N,Na,1
0,N,Cr,0
0,N,Ce,1
0,N,K,1
0,N,Zr,0
0,N,Mg,0
0,N,In,0
0,N,Br,1
0,N,Ag,0
0,N,Li,0
0,N,Ge,0
0,N,Cl,1
0,N,Ca,1
0,N,Bi,0
0,Ni,Mo,21
0,Ni,O,21
0,Ni,S,20
0,Ni,Ru,9
0,Ni,Fe,13
0,Ni,Cu,6
0,Ni,Pt,4
0,Ni,W,4
0,Ni,Rh,1
0,Ni,V,6
0,Ni,Se,4
0,Ni,Ir,0
0,Ni,B,4
0,Ni,Mn,3
0,Ni,Pd,0
0,Ni,Ti,0
0,Ni,Os,0
0,Ni,Re,0
