,Element_Type_1,Element_Type_2,Coexistence_num
0,O,Co,21
0,O,C,19
0,O,P,16
0,O,Ni,13
0,O,N,7
0,O,Fe,8
0,O,S,6
0,O,Ru,5
0,O,Ir,3
0,O,Mn,5
0,O,Cu,4
0,O,Ti,3
0,O,B,2
0,O,Se,1
0,O,Mo,1
0,O,Ce,2
0,O,Pd,1
0,O,Rh,1
0,O,Mg,1
0,O,Ca,2
0,O,V,1
0,O,W,1
0,O,Ge,1
0,O,F,1
0,O,Na,1
0,O,K,1
0,O,Au,1
0,O,I,0
0,O,Zn,1
0,O,Li,1
0,Co,C,19
0,Co,P,15
0,Co,Ni,8
0,Co,N,9
0,Co,Fe,3
0,Co,S,7
0,Co,Ru,4
0,Co,Ir,3
0,Co,Mn,3
0,Co,Cu,3
0,Co,Ti,4
0,Co,B,1
0,Co,Se,2
0,Co,Mo,2
0,Co,Ce,1
0,Co,Pd,0
0,Co,Rh,1
0,Co,Mg,1
0,Co,Ca,0
0,Co,V,0
0,Co,W,1
0,Co,Ge,1
0,Co,F,0
0,Co,Na,1
0,Co,K,1
0,Co,Au,0
0,Co,I,1
0,Co,Zn,1
0,Co,Li,1
0,C,P,9
0,C,Ni,6
0,C,N,11
0,C,Fe,5
0,C,S,6
0,C,Ru,6
0,C,Ir,6
0,C,Mn,2
0,C,Cu,5
0,C,Ti,1
0,C,B,2
0,C,Se,2
0,C,Mo,0
0,C,Ce,0
0,C,Pd,0
0,C,Rh,1
0,C,Mg,1
0,C,Ca,0
0,C,V,1
0,C,W,0
0,C,Ge,0
0,C,F,1
0,C,Na,0
0,C,K,0
0,C,Au,0
0,C,I,0
0,C,Zn,1
0,C,Li,0
0,P,Ni,9
0,P,N,3
0,P,Fe,7
0,P,S,3
0,P,Ru,0
0,P,Ir,0
0,P,Mn,2
0,P,Cu,0
0,P,Ti,3
0,P,B,1
0,P,Se,1
0,P,Mo,0
0,P,Ce,0
0,P,Pd,1
0,P,Rh,0
0,P,Mg,0
0,P,Ca,1
0,P,V,1
0,P,W,1
0,P,Ge,1
0,P,F,0
0,P,Na,1
0,P,K,1
0,P,Au,0
0,P,I,0
0,P,Zn,1
0,P,Li,0
0,Ni,N,1
0,Ni,Fe,7
0,Ni,S,4
0,Ni,Ru,3
0,Ni,Ir,0
0,Ni,Mn,3
0,Ni,Cu,0
0,Ni,Ti,0
0,Ni,B,2
0,Ni,Se,0
0,Ni,Mo,2
0,Ni,Ce,1
0,Ni,Pd,1
0,Ni,Rh,0
0,Ni,Mg,2
0,Ni,Ca,0
0,Ni,V,1
0,Ni,W,0
0,Ni,Ge,0
0,Ni,F,0
0,Ni,Na,0
0,Ni,K,0
0,Ni,Au,1
0,Ni,I,0
0,Ni,Zn,0
0,Ni,Li,0
0,N,Fe,2
0,N,S,5
0,N,Ru,2
0,N,Ir,3
0,N,Mn,1
0,N,Cu,2
0,N,Ti,2
0,N,B,0
0,N,Se,0
0,N,Mo,1
0,N,Ce,0
0,N,Pd,0
0,N,Rh,0
0,N,Mg,0
0,N,Ca,0
0,N,V,0
0,N,W,0
0,N,Ge,0
0,N,F,0
0,N,Na,0
0,N,K,0
0,N,Au,0
0,N,I,1
0,N,Zn,0
0,N,Li,0
0,Fe,S,0
0,Fe,Ru,0
0,Fe,Ir,0
0,Fe,Mn,1
0,Fe,Cu,0
0,Fe,Ti,0
0,Fe,B,0
0,Fe,Se,0
0,Fe,Mo,0
0,Fe,Ce,0
0,Fe,Pd,1
0,Fe,Rh,0
0,Fe,Mg,1
0,Fe,Ca,2
0,Fe,V,0
0,Fe,W,0
0,Fe,Ge,0
0,Fe,F,0
0,Fe,Na,0
0,Fe,K,0
0,Fe,Au,0
0,Fe,I,0
0,Fe,Zn,0
0,Fe,Li,0
0,S,Ru,1
0,S,Ir,1
0,S,Mn,1
0,S,Cu,1
0,S,Ti,1
0,S,B,0
0,S,Se,0
0,S,Mo,3
0,S,Ce,1
0,S,Pd,0
0,S,Rh,0
0,S,Mg,1
0,S,Ca,0
0,S,V,0
0,S,W,0
0,S,Ge,0
0,S,F,0
0,S,Na,0
0,S,K,0
0,S,Au,0
0,S,I,0
0,S,Zn,1
0,S,Li,0
0,Ru,Ir,3
0,Ru,Mn,0
0,Ru,Cu,0
0,Ru,Ti,0
0,Ru,B,1
0,Ru,Se,0
0,Ru,Mo,0
0,Ru,Ce,0
0,Ru,Pd,0
0,Ru,Rh,0
0,Ru,Mg,0
0,Ru,Ca,0
0,Ru,V,0
0,Ru,W,0
0,Ru,Ge,0
0,Ru,F,1
0,Ru,Na,0
0,Ru,K,0
0,Ru,Au,1
0,Ru,I,0
0,Ru,Zn,0
0,Ru,Li,0
0,Ir,Mn,1
0,Ir,Cu,0
0,Ir,Ti,0
0,Ir,B,0
0,Ir,Se,0
0,Ir,Mo,0
0,Ir,Ce,0
0,Ir,Pd,0
0,Ir,Rh,0
0,Ir,Mg,0
0,Ir,Ca,0
0,Ir,V,0
0,Ir,W,0
0,Ir,Ge,0
0,Ir,F,0
0,Ir,Na,0
0,Ir,K,0
0,Ir,Au,0
0,Ir,I,0
0,Ir,Zn,0
0,Ir,Li,0
0,Mn,Cu,0
0,Mn,Ti,0
0,Mn,B,0
0,Mn,Se,0
0,Mn,Mo,0
0,Mn,Ce,0
0,Mn,Pd,0
0,Mn,Rh,0
0,Mn,Mg,0
0,Mn,Ca,0
0,Mn,V,0
0,Mn,W,0
0,Mn,Ge,0
0,Mn,F,0
0,Mn,Na,0
0,Mn,K,0
0,Mn,Au,0
0,Mn,I,0
0,Mn,Zn,0
0,Mn,Li,0
0,Cu,Ti,1
0,Cu,B,1
0,Cu,Se,2
0,Cu,Mo,0
0,Cu,Ce,0
0,Cu,Pd,0
0,Cu,Rh,0
0,Cu,Mg,0
0,Cu,Ca,0
0,Cu,V,0
0,Cu,W,0
0,Cu,Ge,0
0,Cu,F,0
0,Cu,Na,0
0,Cu,K,0
0,Cu,Au,0
0,Cu,I,0
0,Cu,Zn,0
0,Cu,Li,0
0,Ti,B,0
0,Ti,Se,1
0,Ti,Mo,1
0,Ti,Ce,0
0,Ti,Pd,0
0,Ti,Rh,0
0,Ti,Mg,0
0,Ti,Ca,0
0,Ti,V,0
0,Ti,W,0
0,Ti,Ge,0
0,Ti,F,0
0,Ti,Na,0
0,Ti,K,0
0,Ti,Au,0
0,Ti,I,0
0,Ti,Zn,0
0,Ti,Li,0
0,B,Se,0
0,B,Mo,0
0,B,Ce,0
0,B,Pd,0
0,B,Rh,0
0,B,Mg,0
0,B,Ca,0
0,B,V,1
0,B,W,0
0,B,Ge,0
0,B,F,0
0,B,Na,0
0,B,K,0
0,B,Au,0
0,B,I,0
0,B,Zn,0
0,B,Li,0
0,Se,Mo,0
0,Se,Ce,0
0,Se,Pd,0
0,Se,Rh,0
0,Se,Mg,0
0,Se,Ca,0
0,Se,V,0
0,Se,W,0
0,Se,Ge,0
0,Se,F,0
0,Se,Na,0
0,Se,K,0
0,Se,Au,0
0,Se,I,0
0,Se,Zn,0
0,Se,Li,0
0,Mo,Ce,1
0,Mo,Pd,0
0,Mo,Rh,0
0,Mo,Mg,0
0,Mo,Ca,0
0,Mo,V,0
0,Mo,W,0
0,Mo,Ge,0
0,Mo,F,0
0,Mo,Na,0
0,Mo,K,0
0,Mo,Au,0
0,Mo,I,0
0,Mo,Zn,0
0,Mo,Li,0
0,Ce,Pd,0
0,Ce,Rh,0
0,Ce,Mg,0
0,Ce,Ca,0
0,Ce,V,0
0,Ce,W,0
