,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Final_FE,Product_Type,Product_Type_Global_Multi,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel
0,10.1016/j.cplett.2015.05.073,OH 45433 USA,Air Force Res Lab,CHEMICAL PHYSICS LETTERS,2.719,2015-08-26,13,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.cplett.2015.05.073,NaN,NaN,NaN,C,O,None,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1073/pnas.1321375111,IL 60637 USA,Univ Chicago,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,12.779,2014-08-07,8,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1073/pnas.1321375111,NaN,NaN,NaN,C,O,Zn,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s40242-022-2091-0,Peoples R China,Chinese Acad Sci,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,2.726,2022-04-29,0,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1007/s40242-022-2091-0,NaN,NaN,NaN,Bi,C,O,None,None,None,None,None,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.1002/cssc.201000051,Peoples R China,Shanghai Normal Univ,CHEMSUSCHEM,9.14,2010-01-01,17,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/cssc.201000051,NaN,NaN,NaN,P,Pd,Si,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcou.2021.101801,Peoples R China,Zhejiang Univ,JOURNAL OF CO2 UTILIZATION,8.321,2021-11-25,2,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jcou.2021.101801,NaN,NaN,NaN,Au,C,Mg,O,Ti,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3390/catal10050505,Germany,Tech Univ Berlin,CATALYSTS,4.501,2020-07-21,3,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.3390/catal10050505,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cclet.2021.08.074,Peoples R China,Henan Agr Univ,CHINESE CHEMICAL LETTERS,8.455,2022-05-21,1,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.cclet.2021.08.074,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/cssc.201100814,Japan,Osaka Univ,CHEMSUSCHEM,9.14,2012-01-01,26,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/cssc.201100814,NaN,NaN,NaN,B,C,Ca,F,Fe,Mn,O,S,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2014.06.086,Peoples R China,Chongqing Technol & Business Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2014-10-08,71,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.cej.2014.06.086,NaN,NaN,NaN,B,N,O,V,None,None,None,None,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3390/catal12020244,Peoples R China,Sichuan Univ,CATALYSTS,4.501,2022-03-17,3,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.3390/catal12020244,NaN,NaN,NaN,C,Ni,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/ja307924a,Germany,Univ Rostock,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,2013-02-08,304,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1021/ja307924a,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d1cy00149c,Japan,AIST,CATALYSIS SCIENCE & TECHNOLOGY,6.177,2021-05-26,1,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1039/d1cy00149c,NaN,NaN,NaN,C,Ir,O,P,Ru,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c9ta12401b,Peoples R China,Dalian Univ Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2020-02-18,35,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1039/c9ta12401b,NaN,NaN,NaN,C,O,Sn,None,None,None,None,None,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acscatal.2c02149,Peoples R China,Chinese Acad Sci,ACS CATALYSIS,13.7,2022-07-20,0,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1021/acscatal.2c02149,NaN,NaN,NaN,Ag,Au,C,Cd,Cr,Cu,Fe,Hf,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.1002/cssc.202001310,Peoples R China,Chinese Acad Sci,CHEMSUSCHEM,9.14,2020-07-31,8,NaN,None,0,"However, the unmatched metal nodes result in MOFs having lower faradaic efficiencies (FEs) and limited current densities in CO2ERR",No FE.value found10.1002/cssc.202001310,NaN,NaN,NaN,C,O,Sn,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1002/cssc.202001310,Peoples R China,Chinese Acad Sci,CHEMSUSCHEM,9.14,2020-07-31,8,74.0,HCOOH,0,"The divalent Sn(2+)node accelerates the formation of formic acid (HCOOH), resulting in the highest HCOOH FE of 74 % and total current density (J(total)) of 27 mA/cm(2)at -1.1 V (vs","Normal, FE value found.",0,0,0,C,O,Sn,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.3390/catal8110508,Peoples R China,Henan Normal Univ,CATALYSTS,4.501,2018-12-04,16,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.3390/catal8110508,NaN,NaN,NaN,C,N,O,P,S,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2020.07.212,India,Birla Inst Technol & Sci BITS Pilani,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2020-11-03,19,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.ijhydene.2020.07.212,NaN,NaN,NaN,C,Co,Cu,Fe,O,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1002/anie.202009498,Germany,Tech Univ Darmstadt,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,2020-09-15,21,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/anie.202009498,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s11356-013-1582-4,India,Natl Inst Technol Karnataka,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,5.19,2013-08-21,44,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1007/s11356-013-1582-4,NaN,NaN,NaN,Ag,C,O,Ti,None,None,None,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2022.139835,Peoples R China,Xiamen Univ,ELECTROCHIMICA ACTA,7.336,2022-06-22,0,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.electacta.2022.139835,NaN,NaN,NaN,N,None,None,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/jacs.6b09705,CA 94305 USA,Stanford Univ,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,2017-02-22,35,5.0,Init,1,"Controlled potential electrolysis studies confirm that the product of isopropanol electrooxidation is acetone, generated with a Faradaic efficiency of 94 +/- 5%.","Normal, FE value found.",1,0,0,C,Cl,N,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s11164-017-3099-9,Iran,Res Inst Petr Ind,RESEARCH ON CHEMICAL INTERMEDIATES,3.134,2018-12-28,3,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1007/s11164-017-3099-9,NaN,NaN,NaN,Al,C,Cu,K,Mn,Ni,O,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
