,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Final_FE,Product_Type,Product_Type_Global_Multi,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel
0,10.1002/ente.201300124,MO 64110 USA,Univ Missouri,ENERGY TECHNOLOGY,4.149,2014-07-30,27,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/ente.201300124,NaN,NaN,NaN,C,Pt,Si,None,None,None,None,None,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jece.2021.106650,India,Aligarh Muslim Univ,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,7.968,2021-11-25,2,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jece.2021.106650,NaN,NaN,NaN,C,O,W,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1002/aic.12062,India,Indian Inst Sci,AICHE JOURNAL,4.167,2010-05-01,28,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/aic.12062,NaN,NaN,NaN,Pd,Pt,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jallcom.2016.10.293,India,Indian Inst Technol Roorkee,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,2017-03-05,33,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jallcom.2016.10.293,NaN,NaN,NaN,C,Ce,O,Zr,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,10.1016/j.apcata.2014.05.037,Germany,Ruhr Univ Bochum,APPLIED CATALYSIS A-GENERAL,5.723,2014-07-22,73,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.apcata.2014.05.037,NaN,NaN,NaN,C,N,O,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1007/BF02705619,South Korea,Korea Res Inst Chem Technol,KOREAN JOURNAL OF CHEMICAL ENGINEERING,3.146,2001-11-01,12,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1007/BF02705619,NaN,NaN,NaN,C,F,Na,O,P,Xe,Y,None,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c3nr04282k,Australia,Curtin Univ,NANOSCALE,8.307,2014-01-01,131,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1039/c3nr04282k,NaN,NaN,NaN,C,Cl,O,Zn,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acs.inorgchem.1c01803,India,Indian Inst Sci Educ & Res Bhopal,INORGANIC CHEMISTRY,5.436,2021-08-25,5,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1021/acs.inorgchem.1c01803,NaN,NaN,NaN,B,C,N,O,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.1039/d1ta06664a,Peoples R China,Soochow Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2021-10-02,9,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1039/d1ta06664a,NaN,NaN,NaN,Cu,N,O,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1002/slct.201904580,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,NaN,Error in finding FE keyword.10.1002/slct.201904580,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
