Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1021/acscatal.9b01110,Peoples R China,Shanghai Jiao Tong Univ,ACS CATALYSIS,13.7,6/26/2019,64,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acscatal.9b01110,NaN,NaN,NaN,O,Ti,None,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.7316/KHNES.2015.26.6.516,NaN,NaN,NaN,0,1/1/2015,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.7316/KHNES.2015.26.6.516,NaN,NaN,NaN,Ni,O,S,Y,Zr,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jpowsour.2014.04.123,Peoples R China,Northwestern Polytech Univ,JOURNAL OF POWER SOURCES,9.794,11/1/2014,43,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jpowsour.2014.04.123,NaN,NaN,NaN,Cl,Cu,Ni,O,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,10.1021/ar800039x,Germany,Max Planck Inst Kohlenforsch,ACCOUNTS OF CHEMICAL RESEARCH,24.466,11/1/2008,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/ar800039x,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/smll.202102879,Peoples R China,Qingdao Univ Sci & Technol,SMALL,15.153,8/8/2021,8,38,NaN,NaN,"The optimized Pt61La39@KB delivers excellent hydrogen evolution reaction (HER) activity with a low overpotential of 38 mV (10 mA cm(-2)) and a high TOF value of 44.13 s(-1) (100 mV) in 0.5 m H2SO4, and performs well in 1.0 m KOH","Normal,acid and alkaline.",0,0,0,C,Pt,La,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1016/j.apsusc.2022.153870,Peoples R China,Nanchang Univ,APPLIED SURFACE SCIENCE,7.392,7/10/2022,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apsusc.2022.153870,NaN,NaN,NaN,B,C,Cr,I,N,Rh,S,V,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apmt.2021.101131,Czech Republic,Univ Chem & Technol Prague,APPLIED MATERIALS TODAY,8.663,9/25/2021,3,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apmt.2021.101131,NaN,NaN,NaN,Mo,S,None,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.cattod.2018.03.072,Peoples R China,China Jiliang Univ,CATALYSIS TODAY,6.562,12/28/2018,40,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cattod.2018.03.072,NaN,NaN,NaN,Cd,Ni,S,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s11705-013-1334-5,Scotland,Univ Aberdeen,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,4.803,9/1/2013,11,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1007/s11705-013-1334-5,NaN,NaN,NaN,Au,Co,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apenergy.2017.07.055,South Korea,Korea Atom Energy Res Inst,APPLIED ENERGY,11.446,11/19/2017,9,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apenergy.2017.07.055,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ccr.2022.214639,Malaysia,Univ Kebangsaan Malaysia,COORDINATION CHEMISTRY REVIEWS,24.833,7/3/2022,3,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ccr.2022.214639,NaN,NaN,NaN,C,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1016/j.cej.2021.130533,South Korea,Pohang Univ Sci & Technol POSTECH,CHEMICAL ENGINEERING JOURNAL,16.744,7/19/2021,22,NaN,74,NaN,"Therefore, the self-supported NiCoZnP/NC nanosheets array demonstrates high HER activity with low overpotential of 74 mV and OER activity with overpotential of 228 mV to reach current density of 10 mA cm-2 in 1.0 M KOH solution, and exhibits remarkable overall water splitting performances with low potential of 1.54 V to drive 10 mA cm-2 and good long-term stability.","Normal,only alkaline.",1,1,0,C,Co,N,Ni,P,Zn,None,None,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
