,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1016/j.ijhydene.2021.09.020,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2021.09.020,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1149/2162-8777/ac0608,Turkey,Akdeniz Univ,ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,2.483,2021-06-27,25,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1149/2162-8777/ac0608,NaN,NaN,NaN,C,Co,N,P,S,None,None,None,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1039/c5dt02562a,India,Jawaharlal Nehru Ctr Adv Sci Res,DALTON TRANSACTIONS,4.569,2015-01-01,56,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c5dt02562a,NaN,NaN,NaN,Mo,Re,S,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1364/OE.24.0A1234,MA 02139 USA,MIT,OPTICS EXPRESS,3.833,2016-09-05,18,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1364/OE.24.0A1234,NaN,NaN,NaN,Au,O,Ti,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.4067/S0717-97072015000400011,Peoples R China,Nanchang Univ,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,1.431,2016-04-20,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.4067/S0717-97072015000400011,NaN,NaN,NaN,Al,C,Ce,Ni,O,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acsnano.8b06039,Peoples R China,Chinese Acad Sci,ACS NANO,18.027,2019-01-10,95,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acsnano.8b06039,NaN,NaN,NaN,C,Co,P,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,10.1016/j.cattod.2019.04.011,KY 40511 USA,Univ Kentucky,CATALYSIS TODAY,6.562,2020-04-02,10,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cattod.2019.04.011,NaN,NaN,NaN,C,Co,Fe,N,O,S,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c9fd00133f,Germany,Tech Univ Darmstadt,FARADAY DISCUSSIONS,4.394,2021-06-09,10,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c9fd00133f,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2019.07.026,India,Jiwaji Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2019-09-30,27,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2019.07.026,NaN,NaN,NaN,B,C,Rh,None,None,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apenergy.2010.11.041,KS 66506 USA,Kansas State Univ,APPLIED ENERGY,11.446,2011-04-01,160,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apenergy.2010.11.041,NaN,NaN,NaN,C,Ni,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
