,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Final_FE,Final_Y,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel
0,10.1039/d0dt01436b,Peoples R China,Henan Inst Sci & Technol,DALTON TRANSACTIONS,4.569,2020-07-09,12,NaN,NaN,NaN,Error in finding FE keyword.10.1039/d0dt01436b,NaN,NaN,NaN,C,N,O,None,None,None,None,None,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcis.2019.06.079,Peoples R China,Northwest A&F Univ,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.965,2019-09-17,28,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jcis.2019.06.079,NaN,NaN,NaN,C,Cl,Cu,Fe,O,None,None,None,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/chem.201802898,Peoples R China,Nanjing Univ,CHEMISTRY-A EUROPEAN JOURNAL,5.02,2018-12-28,17,NaN,NaN,NaN,Error in finding FE keyword.10.1002/chem.201802898,NaN,NaN,NaN,C,Co,N,O,Zn,None,None,None,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.1016/j.nanoen.2016.05.034,Germany,Univ Ulm,NANO ENERGY,19.069,2017-01-04,19,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.nanoen.2016.05.034,NaN,NaN,NaN,N,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.proci.2006.07.075,Peoples R China,Shanghai Jiao Tong Univ,PROCEEDINGS OF THE COMBUSTION INSTITUTE,6.535,2007-01-01,14,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.proci.2006.07.075,NaN,NaN,NaN,K,La,Mn,N,O,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jssc.2021.122735,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jssc.2021.122735,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cattod.2011.02.033,Argentina,UNL CONICET,CATALYSIS TODAY,6.562,2011-09-21,16,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.cattod.2011.02.033,NaN,NaN,NaN,In,N,O,Pd,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s11708-021-0797-1,Peoples R China,Shanghai Jiao Tong Univ,FRONTIERS IN ENERGY,2.964,2022-01-11,0,NaN,NaN,NaN,Error in finding FE keyword.10.1007/s11708-021-0797-1,NaN,NaN,NaN,Cl,Mn,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/S0926-3373(96)00055-0,NaN,NaN,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,1996-12-27,49,NaN,NaN,NaN,Error in finding FE keyword.10.1016/S0926-3373(96)00055-0,NaN,NaN,NaN,N,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jpowsour.2015.05.094,South Korea,Chonnam Natl Univ,JOURNAL OF POWER SOURCES,9.794,2015-10-20,62,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.jpowsour.2015.05.094,NaN,NaN,NaN,C,Co,P,Pd,None,None,None,None,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10.1016/j.electacta.2017.05.131,South Korea,Inst for Basic Sci Korea,ELECTROCHIMICA ACTA,7.336,2017-08-10,8,NaN,NaN,NaN,Error in finding FE keyword.10.1016/j.electacta.2017.05.131,NaN,NaN,NaN,C,Mn,Pt,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acscatal.8b00338,Peoples R China,South China Univ Technol,ACS CATALYSIS,13.7,2018-12-28,131,NaN,NaN,NaN,Error in finding FE keyword.10.1021/acscatal.8b00338,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2022.121531,Peoples R China,Tsinghua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2022-06-22,2,23.15,24.54,"Herein, a biomimetic three-dimensional NiCoP/CoMoP/Co(Mo3Se4)(4) @C/NF electrocatalyst is designed to have excellent NRR performance with an NH3 yield rate of 24.54 mu g h(-1) cm(-2) and Faradaic efficiency of 23.15%","Normal, FE value found.",0,0,0,Co,Mo,N,Ni,P,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
