,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1016/j.apcatb.2018.03.025,Peoples R China,South China Univ Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2018-06-21,63,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apcatb.2018.03.025,NaN,NaN,NaN,Bi,I,O,Pb,Ti,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.4028/www.scientific.net/AMR.132.205,Mexico,Inst Nacl Invest Nucl,NaN,0.0,2010-01-01,23,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.4028/www.scientific.net/AMR.132.205,NaN,NaN,NaN,Ag,O,S,Zn,None,None,None,None,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1007/BF01077583,"UNIV NEWCASTLE UPON TYNE,DEPT CHEM,NEWCASTLE TYNE NE1 7RU,TYNE & WEAR,ENGLAND","UNIV NEWCASTLE UPON TYNE,DEPT CHEM,NEWCASTLE TYNE NE1 7RU,TYNE & WEAR,ENGLAND",JOURNAL OF APPLIED ELECTROCHEMISTRY,2.925,1991-11-01,15,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1007/BF01077583,NaN,NaN,NaN,C,P,None,None,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jechem.2022.04.052,Peoples R China,Qingdao Univ Sci & Technol,JOURNAL OF ENERGY CHEMISTRY,13.599,2022-06-11,2,25.6,NaN,NaN,"It was found that the oxygen vacancies amount can reach up to 38.2% over the Mn-doped CoO nanomaterials, resulting in ultra-high hydrogen evolution reaction (HER) and oxygen evolution reaction (OER) catalytic activity (HER: 25.6 and 37 mV at 10 mA cm-2; OER: 301 and 322 mV at 50 mA cm-2) under both basic and acidic conditions, while reaching 10 mA cm-2 for an ultra-low cell voltage of only 1.52 V, which exceeds that of Pt/C/RuO2 and all reported non-noble metal oxide catalysts","Normal,only acid.",1,1,0,Co,Mn,O,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1002/aic.11767,DE 19716 USA,Univ Delaware,AICHE JOURNAL,4.167,2009-04-01,83,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/aic.11767,NaN,NaN,NaN,C,O,Rh,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.jallcom.2020.153803,Peoples R China,Beijing Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,2020-03-10,16,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jallcom.2020.153803,NaN,NaN,NaN,C,Ni,O,Ti,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.3390/catal10121486,Peoples R China,Harbin Inst Technol,CATALYSTS,4.501,2021-01-07,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/catal10121486,NaN,NaN,NaN,C,Fe,O,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,10.1021/jacs.9b11088,Peoples R China,Shandong Univ,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,2020-08-31,15,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/jacs.9b11088,NaN,NaN,NaN,C,Mo,N,O,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cej.2015.04.046,Peoples R China,Chinese Acad Sci,CHEMICAL ENGINEERING JOURNAL,16.744,2015-07-08,53,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2015.04.046,NaN,NaN,NaN,Co,La,N,Ni,O,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/S0010-2180(01)00363-7,Switzerland,Paul Scherrer Inst,COMBUSTION AND FLAME,5.767,2002-03-01,132,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S0010-2180(01)00363-7,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
