,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_HWP,Alkaline_HWP,Neutral_HWP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
0,10.1002/cssc.202100182,Peoples R China,Nankai Univ,CHEMSUSCHEM,9.14,2021-03-28,5,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1002/cssc.202100182,NaN,NaN,NaN,Co,Fe,Mn,Ni,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1039/b816888a,Peoples R China,Jilin Univ,SOFT MATTER,4.046,2009-01-01,52,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/b816888a,NaN,NaN,NaN,C,O,Te,U,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s40684-019-00077-6,South Korea,KIST,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY,4.66,2019-04-18,9,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1007/s40684-019-00077-6,NaN,NaN,NaN,C,Ti,None,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.jcis.2021.01.049,Saudi Arabia,Taif Univ,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.965,2021-03-22,5,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jcis.2021.01.049,NaN,NaN,NaN,C,N,Pt,Ru,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acs.inorgchem.2c01850,Peoples R China,Southwest Univ Sci & Technol,INORGANIC CHEMISTRY,5.436,2022-08-24,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1021/acs.inorgchem.2c01850,NaN,NaN,NaN,I,O,Ti,U,V,None,None,None,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2011.11.067,Spain,IMDEA Energy Inst,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2012-06-06,28,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.ijhydene.2011.11.067,NaN,NaN,NaN,C,Co,Na,O,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.vibspec.2006.07.005,Netherlands,Univ Utrecht,VIBRATIONAL SPECTROSCOPY,2.382,2007-01-16,115,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.vibspec.2006.07.005,NaN,NaN,NaN,O,None,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.colsurfa.2022.128535,Peoples R China,Nanjing Univ Sci & Technol,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,5.518,2022-03-15,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.colsurfa.2022.128535,NaN,NaN,NaN,Cu,Pd,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.partic.2017.02.006,Morocco,Mohammed V Univ Rabat,PARTICUOLOGY,3.251,2017-09-19,26,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.partic.2017.02.006,NaN,NaN,NaN,C,Li,Nb,O,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.jcis.2020.12.034,Peoples R China,Harbin Normal Univ,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.965,2021-03-10,17,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jcis.2020.12.034,NaN,NaN,NaN,C,Mo,N,Nb,O,W,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
