Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
1,10.1016/j.jpowsour.2018.09.042,Peoples R China,Sch Mat Sci & Engn,JOURNAL OF POWER SOURCES,9.794,12/28/2018,42,NaN,87,NaN,"Electrochemical test results reveal that the synthesized Co2P nanorods exhibit superior bifunctional activity with overpotentials of 87 mV for HER and 310 mV for OER at 10 mA cm(-2), respectively, relative to Co2P/CoP branched nanostructure, CoP nanoparti","Normal,only alkaline.",1,1,0,Co,P,None,None,None,None,None,None,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/j.electacta.2018.05.035,Peoples R China,Tianjin Polytech Univ,ELECTROCHIMICA ACTA,7.336,12/28/2018,97,107,172,NaN,"The HEA requires an overpotential of only 107 mV in acidic solutions and 172 mV in the basic solution at current density of 10 mA cm(-2), which are much better than that of the dual-phase counterpart and even comparable to that of Pt sheet and most report","Normal,acid and alkaline.",0,0,0,Co,Cr,Fe,Mo,Ni,None,None,None,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,10.1016/j.mtener.2019.05.001,Peoples R China,Tianjin Univ,MATERIALS TODAY ENERGY,9.257,10/4/2019,23,NaN,60,NaN,"The optimized Ni3S2@MoS2 catalyst presents low overpotentials of 60 mV to reach a current density of -10 mA cm(-2) with Tafel slope of 48 mV dec(-1) in 1.0 M KOH, and a satisfactory stability of 5000-circles of continuous operation","Normal,only alkaline.",0,0,0,Mo,Ni,S,None,None,None,None,None,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1039/d1ta04917h,Peoples R China,Shenzhen Univ Shenzhen,JOURNAL OF MATERIALS CHEMISTRY A,14.511,8/10/2021,5,NaN,14,NaN,"The Ru-SNC catalyst, with a Ru content of 2.59 wt%, only needs an extremely low overpotential of 14 mV to deliver the benchmark 10 mA cm(-2) in 1 M KOH","Normal,only alkaline.",0,0,0,C,N,Ru,S,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1039/c7nr00460e,Peoples R China,CAS Ctr Excellence Nanosci,NANOSCALE,8.307,3/21/2017,64,70,98,NaN,"Thus, the ternary CoP2xSe2(1-x) NWs are highly active for electrochemical hydrogen evolution in both acidic and alkaline media, achieving a current density of 10 mA cm (-2) at overpotentials of 70 mV and 98 mV, respectively","Normal,acid and alkaline.",0,0,0,P,Co,Se,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1002/cctc.202001343,Peoples R China,Nanjing Univ Sci & Technol,CHEMCATCHEM,5.497,11/4/2020,5,NaN,51,NaN,The Co-B-P catalyst shows highly effective HER electrochemical performance with low overpotential of 51 mV at current density of 10 mA cm(-2) and Tafel slope of 44 mV dec(-1) in alkaline solution (pH=14),"Normal,only alkaline.",0,0,0,Co,O,P,B,C,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,10.1021/acssuschemeng.0c03311,Peoples R China,Guangdong Univ Technol,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/4/2020,14,105,37,45,"The Mo2ExC1-x/rGO electrocatalysts show the best activity for HER in acidic, alkaline, and neutral media, with the onset overpotentials of 37, 45, and 105 mV, respectively, which achieve 10 mA cm(-2) at overpotentials of only 95 mV in 1 M HClO4","Normal,acid, alkaline and neutral.",0,1,0,B,C,F,Mo,S,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1016/j.electacta.2021.139596,Peoples R China,Taiyuan Univ Technol,ELECTROCHIMICA ACTA,7.336,5/3/2022,1,NaN,116,NaN,"The obtained CoS/NiFe2O4-15/NF exhibits HER and OER catalytic performance with overpotentials of 116 mV and 227 mV at a current density of 10 mA cm -2 in 1 M KOH, respectively","Normal,only alkaline.",1,1,0,Co,Fe,Ni,O,S,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.1021/acssuschemeng.7b01802,Peoples R China,Qingdao Univ Sci & Technol,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,10/1/2017,38,NaN,126,NaN,"The overpotetnial at current density of 10 mA cm(-2) is as low as 126 mV in KOH, making it a promising candidate for HER electrocatalyst.","Normal,only alkaline.",0,0,0,Mo,Ni,O,S,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1039/d1ra02828f,Peoples R China,Beijing Univ Chem Technol,RSC ADVANCES,4.036,6/24/2021,5,NaN,116,NaN,Ni3S4-MoS2 exhibited a low overpotential of 116 mV at 10 mA cm(-2) in an alkaline solution with a corresponding Tafel slope of 81 mV dec(-1) and long-term stability of over 20 h,"Normal,only alkaline.",0,0,0,Mo,Ni,S,None,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
