Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1016/j.electacta.2018.05.035,Peoples R China,Tianjin Polytech Univ,ELECTROCHIMICA ACTA,7.336,12/28/2018,97,107,172,NaN,"The HEA requires an overpotential of only 107 mV in acidic solutions and 172 mV in the basic solution at current density of 10 mA cm(-2), which are much better than that of the dual-phase counterpart and even comparable to that of Pt sheet and most report","Normal,acid and alkaline.",0,0,0,Co,Cr,Fe,Mo,Ni,None,None,None,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,10.1016/j.nanoen.2015.10.014,England,Univ Bradford,NANO ENERGY,19.069,11/1/2015,164,78,NaN,NaN,"This integrated catalyst exhibits an excellent HER electrocatalytic activity including an onset potential of 50 mV, an overpotential at 10 mA cm(-2) (eta(10)) of 78 mV, a Tafel slop of 53 mV dec(-1), and an excellent cycling stability in acid solution","Normal,only acid.",0,1,0,C,Mo,S,None,None,None,None,None,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,10.1039/c7nr00460e,Peoples R China,CAS Ctr Excellence Nanosci,NANOSCALE,8.307,3/21/2017,64,70,98,NaN,"Thus, the ternary CoP2xSe2(1-x) NWs are highly active for electrochemical hydrogen evolution in both acidic and alkaline media, achieving a current density of 10 mA cm (-2) at overpotentials of 70 mV and 98 mV, respectively","Normal,acid and alkaline.",0,0,0,P,Co,Se,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acs.iecr.9b00209,Peoples R China,Tianjin Univ,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,4.326,6/18/2019,6,99,NaN,NaN,"As a result, the Mo2C-RGO exhibits excellent activity in hydrogen evolution reactions in acidic media with a small overpotential of 99 mV to drive 10 mA cm(-2) and a low Tafel slope (54.6 mV dec(-1)) in acidic solution, and no significant degradation was ","Normal,only acid.",0,0,1,C,Mo,None,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apsusc.2019.143710,Peoples R China,Harbin Inst Technol,APPLIED SURFACE SCIENCE,7.392,10/18/2019,21,156,NaN,NaN,"The three-dimensional free-standing NF@Acid-H-2 electrode exhibited high HER and UOR activities at 156 mV and at 1.33 V to reach the current density of 10 mA/cm(2), respectively","Normal,only acid.",0,0,0,Ni,None,None,None,None,None,None,None,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acssuschemeng.0c03311,Peoples R China,Guangdong Univ Technol,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/4/2020,14,105,37,45,"The Mo2ExC1-x/rGO electrocatalysts show the best activity for HER in acidic, alkaline, and neutral media, with the onset overpotentials of 37, 45, and 105 mV, respectively, which achieve 10 mA cm(-2) at overpotentials of only 95 mV in 1 M HClO4","Normal,acid, alkaline and neutral.",0,1,0,B,C,F,Mo,S,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1088/0256-307X/37/5/058201,Peoples R China,Jilin Univ,CHINESE PHYSICS LETTERS,2.293,6/2/2020,1,88,NaN,NaN,"Electrochemical test results reveal that the Mo-Co2P@rGO electrode exhibits superior activity with overpotentials of 204 mV and Tafel slope of 88 mV/dec for HER at 10 mA/cm(2), relative to the Co2P@rGO electrode in 0.5 M H2SO4 solution","Normal,only acid.",1,1,0,Mo,Co,P,C,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2018.10.011,Peoples R China,Hunan Univ,ELECTROCHIMICA ACTA,7.336,12/28/2018,17,39.7,139,NaN,"The Pt-TiN NAs demonstrate high HER efficiencies both in acid (0.5 M H2SO4) and alkaline media (1 M KOH) with the overpotentials of 39.7 mV and 139 mV at the current density of 10 mA cm(-2), respectively, which is comparable to that of commercial 20 wt % ","Normal,acid and alkaline.",0,0,1,N,Ti,Pt,None,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jallcom.2022.165733,Peoples R China,Ocean Univ China,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,7/8/2022,1,151,NaN,NaN,"Hence, the Fe-CoP/PCNF achieves excellent HER performance, which affords overpotential of 151 mV to support the current density of 10 mA cm-2 in acid media","Normal,only acid.",0,0,0,C,Fe,Co,P,None,None,None,None,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,10.1016/j.nanoen.2019.04.086,Peoples R China,Nanjing Xiaozhuang Univ,NANO ENERGY,19.069,6/25/2019,27,39,22,NaN,"Due to the synergy of metal vacancies and twinned structural advantages, including the appropriate hydrogen binding energy, large exposed surface, anisotropic structure and fast mass/charge transport, v-Pd3Pt29Ru62Te6 AS exhibits significantly enhanced HE","Normal,acid and alkaline.",0,0,0,Pd,Pt,Ru,Te,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1039/c8se00498f,Peoples R China,CAEP,SUSTAINABLE ENERGY & FUELS,6.813,5/27/2019,15,34,NaN,NaN,"Due to the good dispersion of CoP, in situ doping of phosphorus in CSs and the good electrical conductivity of the support, the prepared CoP/CSs-0.05 catalyst exhibits superior HER electrocatalytic performance with a low onset overpotential of 34 mV and a","Normal,only acid.",0,1,0,C,Co,P,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apsusc.2018.08.033,Peoples R China,China Univ Petr East China,APPLIED SURFACE SCIENCE,7.392,12/28/2018,16,10,NaN,NaN,"Through a simple electrochemical method, platinum nanoparticles are successfully anchored on the surface of the carbon nanospheres decorated electrode, which exhibits exceptional HER performance in H2SO4 with low onset overpotential, small Tafel slope (33","Normal,only acid.",0,1,0,C,Pt,None,None,None,None,None,None,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d1ce00938a,Peoples R China,Sichuan Univ Sci & Engn,CRYSTENGCOMM,3.756,9/21/2021,1,146,NaN,NaN,"Due to its compositional, morphological and electrical superiorities, the CNT/VMoS-2 catalyst recorded the optimal HER activity with a low overpotential of -146 mV at 10 mA cm(-2), a low Tafel slope of 61 mV dec(-1) and a very small R-ct value of 8.8 omeg","Normal,only acid.",0,1,0,C,Mo,S,V,None,None,None,None,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1021/acsami.9b15039,Peoples R China,Dalian Univ Technol,ACS APPLIED MATERIALS & INTERFACES,10.383,6/19/2020,13,197,NaN,NaN,"Owing to the unique 2D structure, the achieved TaS2 NSs displayed remarkable electrocatalytic activity toward the HER by a small overpotential of 197 mV at 10 mA cm(-2) and a small Tafel slope of 100 mV dec(-1) in acidic solution, much lower than those of","Normal,only acid.",1,1,0,S,Ta,None,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.mtphys.2021.100401,Peoples R China,China Univ Geosci,MATERIALS TODAY PHYSICS,11.021,6/12/2021,7,32,29,NaN,"Due to the presence of metallic Rh, the HER activity of RheRh(3)Se(4)/C is boosted requiring an ultralow overpotentials of 32 mV and 29 mV to attain 10 mA cm(-2) in acidic and alkaline electrolyte with 14.3 mgRh cm(-2), respectively, corresponding to 11- ","Normal,acid and alkaline.",0,1,0,Rh,Se,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/adfm.202105562,Peoples R China,Liaoning Univ,ADVANCED FUNCTIONAL MATERIALS,19.924,7/27/2021,7,17,33,NaN,"The catalysts exhibit superior catalytic performance toward the hydrogen evolution reaction with high Faradaic efficiency (91.5% and 92.7%), superior turnover frequency (2.1 and 0.69 H-2 s(-1)) at the 50 mV overpotential, and only 17 and 33 mV overpotenti","Normal,acid and alkaline.",0,1,0,C,N,Ir,None,None,None,None,None,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2019.134597,Peoples R China,Lanzhou Univ,ELECTROCHIMICA ACTA,7.336,9/12/2019,14,117,NaN,NaN,"For example, they held low overpotential of 117 mV at 10 mA/cm(2), small Tafel slope of 47.3 mV/dec, and large electrochemical surface area of 60.24 mF/cm(2) in 0.5 M H2SO4","Normal,only acid.",0,1,0,N,Ni,None,None,None,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2019.12.155,Peoples R China,Zhejiang Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,3/30/2020,61,27,28,23,"28 mV in 1.0 M KOH, 23 mV in 1.0 M phosphate buffer solution and 27 mV in 0.5 M H2SO4) at the current density of 10 mA cm(-2), surpassing those of commercial Pt/C under such conditions","Normal,acid, alkaline and neutral.",0,0,0,O,P,Pt,Rh,None,None,None,None,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1002/asia.201701400,Peoples R China,Northeast Normal Univ,CHEMISTRY-AN ASIAN JOURNAL,4.839,12/28/2018,29,109,83,159,"To reach a current density of 10mAcm(-2), only 109, 159, and 83mV were needed for P-Mo2C@NC in 0.5m H2SO4 (pH0), 0.1m phosphate buffer (pH7), and 1m KOH (pH14), respectively","Normal,acid, alkaline and neutral.",0,0,0,C,Mo,O,P,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ijhydene.2021.12.264,Peoples R China,Tsinghua Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,3/5/2022,3,118,95.45,NaN,"The designed CoP/o-CC exhibits superior catalytic activity with overpotentials of 118 mV and 95.45 mV to deliver a current density of 10 mA cm-2 in acidic and alkaline solution, respectively, which is superior to most reported studies","Normal,acid and alkaline.",0,0,0,C,Co,P,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/smll.202006442,Peoples R China,Xinjiang Univ,SMALL,15.153,3/31/2021,13,23,NaN,NaN,"The Pt-ACs/CNT@GDY can deliver an HER current density of 10 mA cm(-2) with a small overpotential of 23 mV in 0.5 M H2SO4, showing a greatly enhanced mass activity, intrinsic activity than the commercial Pt/C catalyst","Normal,only acid.",0,0,0,C,Pd,Pt,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c6ta02297a,Peoples R China,Univ Sci & Technol China,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/1/2016,97,60,155,120,"The cathode showed high-performance catalytic activity to produce hydrogen in aqueous solution, with quite low overpotentials of only 60 mV (0.5 M H2SO4, pH similar to 0.26), 120 mV (1.0 M KPi, pH similar to 7), and 155 mV (1.0 M KOH, pH similar to 14) to","Normal,acid and alkaline.",0,1,0,Co,Ni,P,None,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1016/j.electacta.2018.05.182,Peoples R China,Beijing Normal Univ,ELECTROCHIMICA ACTA,7.336,12/28/2018,21,178,NaN,NaN,"For HER, a low overpotential of only 178mV is needed to reach 10 mA cm(-2) in 0.5 M H2SO4","Normal,only acid.",1,0,0,Co,O,Ru,S,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1002/aenm.201701345,Peoples R China,Beihang Univ,ADVANCED ENERGY MATERIALS,29.698,12/28/2018,250,60,NaN,NaN,"Moreover, it shows unexpectedly high catalytic activities toward oxygen evolution reaction (OER) and hydrogen evolution reaction (HER), with overpotentials of 310 mV for OER in alkaline solution and 60 mV for HER in acidic media at a current density of 10","Normal,acid and alkaline.",1,0,0,Fe,N,O,Ru,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acsami.7b14506,Peoples R China,Taiyuan Univ Technol,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,67,120,112,NaN,"When applied to hydrogen evolution, the synthesized NiS-Ni9S8-NiSe-NR electrode demonstrates optimized electrocatalytic activity and long-term durability, only requiring overpotentials as low as 120 and 112 mV to drive 10 mA cm(-2) for hydrogen evolution ","Normal,acid and alkaline.",0,0,0,Ni,S,Se,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1016/j.jallcom.2021.159562,Peoples R China,East China Univ Sci & Technol,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,5/22/2021,7,20,NaN,NaN,"The resulting Pt-MoS2/CN composite boosts the hydrogen evolution reaction (HER) performance to an upper level in acidic media with low overpotential (-20 mV at 10 mA cm(-2)), high exchange current density (6.24 mA cm(-2)) and much stable durability (more ","Normal,only acid.",0,0,0,C,Mo,P,S,V,None,None,None,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1002/adma.202001167,Peoples R China,Beihang Univ,ADVANCED MATERIALS,32.086,7/7/2020,63,49.3,NaN,NaN,"The overpotential at 10 mA cm(-2)and Tafel slope of Co and Pd co-doped MoS(2)is found to be 49.3 mV and 43.2 mV dec(-1), respectively, representing a superior acidic HER catalytic activity","Normal,only acid.",0,0,0,Co,Pd,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
