Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
1,10.3390/catal11040500,Sweden,Umea Univ,CATALYSTS,4.501,4/30/2021,1,NaN,320,NaN,"When the NiCo@CNTs/CF electrode was used as an anode in OER, after the anodization step, the electrode required a small overpotential of 320 mV to reach the current density of 10 mA cm(-2) and demonstrated excellent stability over a long testing time (tot","Normal,only alkaline.",1,0,0,C,Co,Ni,O,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1557/jmr.2017.390,Peoples R China,Shaanxi Normal Univ,JOURNAL OF MATERIALS RESEARCH,2.909,4/3/2018,11,NaN,310,NaN,The catalysts display high activity with a current density of 10 mA/cm(2) at an overpotential of 310 mV and a small Tafel slope of 68.9 mV/dec in alkaline condition,"Normal,only alkaline.",1,1,0,O,Co,None,None,None,None,None,None,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1149/2162-8777/ac1c9e,Peoples R China,Univ Sci & Technol Beijing,ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,2.483,8/28/2021,0,NaN,238,NaN,"The resulting Ni2P-Ni5P4 catalyst exhibited a reasonable overpotential of 107 mV and a superior low overpotential of 238 mV at 10 mA cm(-2) for hydrogen evolution reaction and oxygen evolution reaction in 1 M KOH, respectively","Normal,only alkaline.",1,1,0,O,Ru,None,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1088/1361-6528/ab8667,South Korea,Yeungnam Univ,NANOTECHNOLOGY,3.953,5/28/2020,10,NaN,270,NaN,"The well crystalline, porous nature of NiCo2O4, NiCo2 S-4, and NiCo2Se4 electrocatalysts with one dimensional (1D) structural morphology affords overpotentials of 346 mV, 309 mV and 270 mV at current density of 10 mA cm(-2) in 1 M KOH","Normal,only alkaline.",1,1,0,Co,Ni,O,Se,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1088/1361-6528/aab6ff,Peoples R China,Jinan Univ,NANOTECHNOLOGY,3.953,12/28/2018,34,NaN,317,NaN,"The as-synthesized Ni3S2 NWs/Ni exhibits a low overpotential of 81 and 317 mV to render a current density of 10 mA cm(-2) for the HER and OER, respectively, in 1.0 mol l(-1) KOH solution","Normal,only alkaline.",1,1,0,Ni,S,None,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1063/1674-0068/31/cjcp1805127,Peoples R China,Tsinghua Univ,CHINESE JOURNAL OF CHEMICAL PHYSICS,1.09,12/28/2018,17,NaN,310,NaN,"As expected, the optimized Co3O4 nanosheets can catalyze the OER efficiently with a low overpotential of 310 mV at current density of 10 mA/cm(2) and remarkable long-term stability in 1.0 mol/L KOH.","Normal,only alkaline.",1,0,0,Co,O,None,None,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1039/d2se00665k,India,Natl Inst Sci Educ & Res NISER,SUSTAINABLE ENERGY & FUELS,6.813,7/27/2022,0,NaN,317,NaN,The as-synthesized electrocatalyst exhibits remarkable catalytic performance towards the oxygen evolution reaction (OER) and needed only 317 mV overpotential at a current density of 10 mA cm(-2) in 1 M KOH electrolyte,"Normal,only alkaline.",1,0,0,Co,Te,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1039/d2nj02165j,Peoples R China,Northwest Normal Univ,NEW JOURNAL OF CHEMISTRY,3.925,7/1/2022,0,NaN,318,NaN,"In alkaline medium, the Co3Ni1B-rGO catalyst exhibits superior OER activity with a low overpotential of 318 mV at a current density of 10 mA cm(-2), and stability up to at least 16 hours","Normal,only alkaline.",1,0,0,B,Co,Ni,C,None,None,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1039/d2nj00473a,Peoples R China,Huazhong Agr Univ,NEW JOURNAL OF CHEMISTRY,3.925,4/20/2022,0,NaN,290,NaN,"This Fe-CoP/C composite exhibits a favorable OER performance in 1 M KOH with a low overpotential of 290 mV at 10 mA cm(-2), which is better than that of counterparts without Fe and 2D morphology","Normal,only alkaline.",1,0,0,C,Co,Fe,P,None,None,None,None,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1039/d2dt00138a,Peoples R China,North Univ China,DALTON TRANSACTIONS,4.569,3/17/2022,0,NaN,192,NaN,"It is worth noting that the as-developed F-P-Co3O4/NF materials exhibit outstanding catalytic activity for overpotentials of 192 and 110 mV at a current density of 10 mA cm(-2) for the oxygen evolution reaction and the hydrogen evolution reaction in 1 M KOH, respectively","Normal,only alkaline.",1,1,0,Co,F,O,P,None,None,None,None,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
