TEST,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,HWP,Remark_Sentence,Bug_Note,PH,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
1,10.1039/c6ta10291c,Peoples R China,Soochow Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/14/2017,102,0.837,"Herein we present an economical approach for the synthesis of self-standing cobalt nanoparticles (NPs) anchored on carbon nanotube-grafted multichannel carbon fibers, co-doped with nitrogen and sulfur (Co@ NS/CNT-MCFs), which exhibit comparable ORR (OER) activity to that of commercial Pt/C (RuO2) catalysts in terms of a half-wave potential of 0.837 V for the ORR, and a mere 362 mV overpotential at a current density of 10 mA cm(-2) for the OER, as well as remarkable stability in an alkaline medium","Normal,only alkaline.",13,1,0,0,C,Co,N,O,Ru,S,None,None,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1021/acsami.8b10373,Peoples R China,South China Univ Technol,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,20,0.86,"The optimal catalyst FeSe/NC-PoFeSe exhibits a superb ORR activity with a half-wave potential of 0.86 V versus a reversible hydrogen electrode and OER activity with a low overpotential (330 mV at 10 mA cm(-2)) in alkaline media, compared with commercial Pt/C and IrO2/C catalysts, respectively","Normal,only alkaline.",13,1,0,0,C,Fe,Po,Se,None,None,None,None,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1016/j.jelechem.2021.115013,Peoples R China,Soochow Univ,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,4.598,4/18/2021,3,0.803,"In 0.1 M alkaline KOH solution, Ni2P@HCF-900 delivers a promising half-wave potential of 0.803 V and a quasi-four electron pathway for ORR, a low overpotential of 366 mV at 10 mA cm-2 for OER","Normal,only alkaline.",13,1,0,1,C,N,Ni,O,P,None,None,None,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1021/acs.nanolett.0c01925,Peoples R China,Beijing Inst Technol,NANO LETTERS,12.262,7/29/2020,143,0.915,"It exhibits a half-wave potential of 0.915 V versus reversible hydrogen electrode for oxygen reduction reaction (ORR), and the overpotential is 350 mV at 10 mA cm(-2) during oxygen evolution reaction (OER) in alkaline condition","Normal,only alkaline.",13,1,0,0,C,Mn,N,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,10.1016/j.jallcom.2018.12.191,Peoples R China,Nanjing Xiaozhuang Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,43525,4,0.879,The PdAg@PdPtAg/rGO nanocrystal shows a low overpotential of 22 mV at 10 mA cm(-2) and excellent electrochemical stability with 99.5% retention over either 12 h or 30 000 cycles of HER,No pH key word.10.1016/j.jallcom.2018.12.191,13,0,0,0,Ag,C,Pd,Pt,None,None,None,None,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,10.1021/acsami.9b18304,Peoples R China,Tianjin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,43900,23,0.773,"Moreover, CoIn2Se4 nanosheets outperform pristine CoSe2 and In2Se3 in catalyzing both oxygen evolution reaction (an over-potential of 315 mV at 10 mA cm(-2)) and oxygen reduction reaction (an onset overpotential of 0.88 V)",No pH key word.10.1021/acsami.9b18304,13,0,0,0,Co,In,Se,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,10.1007/s13738-020-01970-7,Peoples R China,Shaanxi Normal Univ,JOURNAL OF THE IRANIAN CHEMICAL SOCIETY,2.271,6/23/2020,8,0.83,"In alkaline media, from series of prepared catalysts, the Fe-8%/Co-Ni LDH shows superior electrocatalytic activity with an overpotential of 232 mV at 10 mA/cm(2), andE(o)91 V andE(1/2)0.83 V versus RHE comparable to both noble metal-based and noble-metal-free OER/ORR catalysts recorded","Normal,only alkaline.",13,1,0,0,Fe,Co,Ni,O,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,10.1021/acsomega.1c01870,Taiwan,Ming Chi Univ Technol,ACS OMEGA,4.132,7/14/2021,3,0.83,"In particular, our material NiCo-MOF@GNS-700 exhibited excellent electrocatalytic activity, including a half-wave potential of 0.83 V (E-ORR,E- (1/2)), a low operating voltage of 1.53 V (E-OER,E- (10)) at 10 mA cm(-2), a potential difference (Delta E) of 1.02 V between E-OER,E- 10 and E-ORR,E- (1/2) in 0.1 M KOH, and a low band gap of 2.61 eV","Normal,only alkaline.",13,0,0,0,C,Co,N,Ni,None,None,None,None,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cclet.2021.11.063,Peoples R China,Shaanxi Univ Sci & Technol,CHINESE CHEMICAL LETTERS,8.455,7/6/2022,3,0.85,To reach the current density of 10 mA/cm(2) the as-synthesized CoP required an overpotential of 120 mV for HER in 1 mol/L KOH and half-wave potential of 0.85 V in O-2-saturated 0.1 mol/L KOH,"Normal,only alkaline.",13,0,0,1,C,Co,N,P,None,None,None,None,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,10.1021/acs.energyfuels.1c03069,Peoples R China,Jiangsu Normal Univ,ENERGY & FUELS,4.654,2/14/2022,2,0.802,"By a feat of synergistic effects between the encapsulated CoxSy and SNC, the hybrid displays superior electrocatalytic performances toward both oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) in alkaline electrolytes, for example, a positive ORR half-wave potential of 0.802 V and a low OER overpotential of 336 mV at 10 mA cm(-2), as well as excellent electrochemical stability","Normal,only alkaline.",13,1,0,0,C,N,S,Co,None,None,None,None,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
