Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
1,10.1039/d2ta00966h,Peoples R China,Qingdao Univ Sci & Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,4/6/2022,0,215,NaN,NaN,"Compared with other pyrochlore oxides, HRO displayed an ultralow overpotential of 215 mV @ 10 mA cm-2 with lower Ru content and higher mass activities, showing long-term (>60 h) stability in acid media","Normal,only acid.",1,0,0,O,Ru,Y,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1039/d1ta04713b,Peoples R China,Dalian Univ Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,10/2/2021,8,165,209,NaN,"Thanks to the unique hierarchical structure, CoP-MnP synergism, and superhydrophilicity and superaerophobicity of the CoMnP/Ni2P/NF arrays, the optimized CoMnP/Ni2P/NF shows high activity for the hydrogen evolution reaction (HER) and oxygen evolution reac","Normal,acid and alkaline.",1,1,0,Ni,Co,Mn,P,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,10.1039/d1ee03610f,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,2,208,NaN,NaN,"Due to the optimal electronic structure and enhanced electrical conductivity, the Mn0.73Ru0.27O2-delta catalyst displayed a low overpotential of 208 mV to reach 10 mA cm(-2) current density in 0.5 M H2SO4 electrolyte, outperforming the benchmark RuO2 and most previously reported noble-metal based OER catalysts","Normal,only acid.",1,0,0,Mn,O,Ru,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1039/c9ta00598f,Peoples R China,Soochow Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,4/19/2019,71,200,NaN,NaN,"The optimized Co-doped RuO2 NWs exhibit superior oxygen evolution reaction activity with an overpotential of 200 mV to generate a current density of 10 mA cm(-2) under acidic conditions, while the Ni-doped RuO2 NWs show robust hydrogen evolution reaction activity with an overpotential of 52 mV in an alkaline environment","Normal,acid and alkaline.",1,0,0,Co,Ni,O,Ru,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1039/c8cy02620c,India,Cent Electrochem Res Inst CSIR CECRI Campus,CATALYSIS SCIENCE & TECHNOLOGY,6.177,5/8/2019,34,405,370,NaN,"For the OER in 0.5 M H2SO4, Co-ZIF-550-N-2 delivered a superior activity and required an overpotential of 405 mV at a current density of 10 mA cm(-2) with a Tafel slope value of 281 mV dec(-1)","Normal,only acid.",1,0,0,Co,Zn,N,C,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10.1039/c7cy02048a,India,SASTRA Univ,CATALYSIS SCIENCE & TECHNOLOGY,6.177,12/28/2018,39,672,530,NaN,"At a 0.1 mg loading, OER studies of Cu-Cu(2)ONPs@C showed a significantly low overpotential of 530 mV@10 mA cm(-2) with the applied potential of 2.07 V in 0.4 M KOH","Normal,only alkaline.",1,0,0,C,Cu,None,None,None,None,None,None,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1038/s41467-020-18064-w,Singapore,Nanyang Technol Univ,NATURE COMMUNICATIONS,17.694,8/25/2020,101,255,297,307,"Herein, we report uniformly dispersed iridium nanoclusters embedded on nitrogen and sulfur co-doped graphene as an efficient and robust electrocatalyst for both HER and OER at all pH conditions, reaching a current density of 10mA cm(-2) with only 300, 190","Normal,acid, alkaline and neutral.",1,0,0,C,N,S,Ir,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10.1021/acsenergylett.0c01384,Peoples R China,Wuhan Univ Technol,ACS ENERGY LETTERS,23.991,10/6/2020,55,223,NaN,NaN,"When used as an electrocatalyst in 0.5 M sulfuric acid, the as-prepared RuB2 needs an overpotential of only 223 mV for the OER to produce an operationally relevant current density of 10 mA cm(-2)","Normal,only acid.",1,0,0,B,O,Ru,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1021/acsami.8b08717,Peoples R China,Wuhan Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,53,281,NaN,NaN,"Benefiting from unique hierarchical architecture and strong electronic interaction arising from synergistic alloying effect of IrCo at the atomic level, the resultant IrCo0.65 NDs display remarkable hydrogen evolution reaction (HER) and oxygen evolution reaction (OER) performances with overpotentials of 17 and 281 mV to achieve 10 mA cm(-2) in 0.1 M HClO4, respectively","Normal,only acid.",1,1,0,Co,Ir,None,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.1021/acsami.0c01937,Peoples R China,Shaanxi Normal Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,4/30/2020,44,245,NaN,NaN,"Consequently, Ir NTs exhibit significantly enhanced activity and durability for acidic OERs compared with commercial Jr nanocrystals (Ir c-NCs), which only require the overpotential of 245 mV to deliver the current density of 10 mA cm(-2)","Normal,only acid.",1,0,0,Ir,N,O,None,None,None,None,None,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
