Warning_OER,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,OVP,Remark_Sentence,Bug_Note,Ph,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1021/acssuschemeng.0c03311,Peoples R China,Guangdong Univ Technol,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/4/2020,14,45,"The Mo2ExC1-x/rGO electrocatalysts show the best activity for HER in acidic, alkaline, and neutral media, with the onset overpotentials of 37, 45, and 105 mV, respectively, which achieve 10 mA cm(-2) at overpotentials of only 95 mV in 1 M HClO4","Normal,acid, alkaline and neutral.",7,0,1,0,B,C,F,Mo,S,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1038/s41467-021-21595-5,Peoples R China,Sun Yat Sen Univ,NATURE COMMUNICATIONS,17.694,4/17/2021,126,36,"Significantly, the obtained NiRu0.13-BDC exhibits outstanding hydrogen evolution activity in all pH, especially with a low overpotential of 36mV at a current density of 10mAcm(-2) in 1M phosphate buffered saline solution, which is comparable to commercial","Normal,only neutral.",7,0,0,1,O,P,Ru,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2019.12.155,Peoples R China,Zhejiang Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,3/30/2020,61,23,"28 mV in 1.0 M KOH, 23 mV in 1.0 M phosphate buffer solution and 27 mV in 0.5 M H2SO4) at the current density of 10 mA cm(-2), surpassing those of commercial Pt/C under such conditions","Normal,acid, alkaline and neutral.",7,0,0,0,O,P,Pt,Rh,None,None,None,None,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1002/asia.201701400,Peoples R China,Northeast Normal Univ,CHEMISTRY-AN ASIAN JOURNAL,4.839,12/28/2018,29,159,"To reach a current density of 10mAcm(-2), only 109, 159, and 83mV were needed for P-Mo2C@NC in 0.5m H2SO4 (pH0), 0.1m phosphate buffer (pH7), and 1m KOH (pH14), respectively","Normal,acid, alkaline and neutral.",7,0,0,0,C,Mo,O,P,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1039/c6ta02297a,Peoples R China,Univ Sci & Technol China,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/1/2016,97,120,"The cathode showed high-performance catalytic activity to produce hydrogen in aqueous solution, with quite low overpotentials of only 60 mV (0.5 M H2SO4, pH similar to 0.26), 120 mV (1.0 M KPi, pH similar to 7), and 155 mV (1.0 M KOH, pH similar to 14) to","Normal,acid and alkaline.",7,0,1,0,Co,Ni,P,None,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2020.119092,Peoples R China,Chinese Acad Sci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,7/1/2020,47,15,"The remarkably low overpotentials of 12, 15 and 13 mV are required to achieve a current density of 10 mA cm(-2) in 1.0 M KOH, 1.0 M PBS and 0.5 M H2SO4, respectively","Normal,acid, alkaline and neutral.",7,0,0,0,C,N,P,Ru,None,None,None,None,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.1021/acsnano.2c07255,Peoples R China,Anhui Normal Univ,ACS NANO,18.027,9/9/2022,0,62,"It exhibits a low overpotential of 49 mV for the HER and 236 mV for the OER at a current density of 10 mA.cm(-2) in acidic pH, 72 mV for the HER and 219 mV at 10 mA.cm(-2) for the OER in alkaline pH, and 62 mV for the HER and 230 mV at 10 mA.cm(-2) for th","Normal,acid, alkaline and neutral.",7,1,1,0,Cu,Mo,S,Se,None,None,None,None,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1021/acssuschemeng.9b01952,Peoples R China,Qingdao Univ Sci & Technol,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/2/2019,23,157,"For the mesoporous Mn-FeP catalyst, the overpotential is 69, 157, and 173 mV in H2SO4, PBS, and KOH electrolytes at 10 mA cm(-2), respectively, which is 21, 40, and 54 mV less than that of its counterpart mesoporous FeP","Normal,acid, alkaline and neutral.",7,0,1,0,Fe,Mn,P,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/anie.201913910,Peoples R China,Zhengzhou Univ,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,9/25/2020,287,18,"The unexpected low overpotentials of 13, 58, and 18 mV shown by RuNi/CQDs allow a current density of 10 mA cm(-2) in 1 m KOH, 0.5 m H2SO4, and 1 m PBS, respectively, for Ru loading at 5.93 mu gRu cm(-2)","Normal,acid, alkaline and neutral.",7,0,0,0,C,Cu,Mn,Ni,Ru,None,None,None,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.electacta.2020.137167,CA 93106 USA,Univ Calif Santa Barbara,ELECTROCHIMICA ACTA,7.336,11/25/2020,13,131,"The as-deposited FeP film was able to support current density of -10 mA/cm(2) at overpotentials of 66 mV in 0.5 M sulfuric acid (H2SO4, pH-0.3), 131 mV in 1.0 M phosphate buffer (PB, pH-6.4) and 110 mV in 1.0 M potassium hydroxide (KOH, pH-14.0) solution,","Normal,acid, alkaline and neutral.",7,0,1,0,Fe,P,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1016/j.electacta.2022.139922,Peoples R China,Harbin Inst Technol,ELECTROCHIMICA ACTA,7.336,5/27/2022,0,89,"The designed MNPN can serve as a robust self-supporting electrode for hydrogen evolution reaction, exhibiting a high catalytic activity with the current density of 10 mA cm(-2) at overpotentials of 63 mV in 1.0 M KOH and 89 mV in 1.0 M phosphate buffer so","Normal,acid and alkaline.",7,0,0,0,Mn,N,Ni,O,P,None,None,None,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/adfm.201807976,South Korea,Yonsei Univ,ADVANCED FUNCTIONAL MATERIALS,19.924,2/21/2019,200,123,"This 2D CoP/NiCoP/NC catalyst exhibits versatile HER electroactivity with very low overpotentials of 75, 60, and 123 mV in 1 m KOH, 0.5 m H2SO4, and 1 m PBS electrolytes, respectively, delivering a current density of 10 mA cm(-2) for HER","Normal,acid, alkaline and neutral.",7,0,0,0,C,Co,N,Ni,P,None,None,None,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d1ta06574b,Peoples R China,Shenzhen Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,10/25/2021,6,71.1,"Owing to the well dispersed active site CoP and the excellent 3D FeP substrate with high porosity and conductivity, the present CoP@3DOM-FeP demonstrated high efficiency in the electrocatalytic HER, with overpotentials as low as of 67.2, 71.1 and 76.5 mV ","Normal,acid, alkaline and neutral.",7,0,0,0,Co,Fe,P,S,None,None,None,None,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
